Variant_ID,BRD7,P300,P300 KIX,P300 NCBD,P300 TAZ1,P300 TAZ2,TFIID TAF12,PCAF TAF6L
AKAP8;0,24489.17,8021.01,76459.13,73699.02,53489.15,16974.32,73676.16,10811.82
APBB1;22,24489.17,2600.79,100569.66,69764.00,33022.56,15400.14,73676.16,10811.82
ARGFX;14,23824.36,3190.65,100569.66,64039.76,53060.91,46358.97,73676.16,10811.82
ARGFX;23,24489.17,6608.37,100569.66,68364.85,44601.43,28685.82,73676.16,10811.82
ARNTL2;54,24489.17,9083.55,100569.66,71227.09,53489.15,13621.28,73676.16,10811.82
ARNTL;54,20434.05,2463.92,,50803.04,47887.66,10593.98,73676.16,10811.82
ASXL3;101,15003.70,11853.12,,79891.19,53489.15,16772.37,73676.16,10811.82
ATF4;8,24489.17,1718.95,83942.51,50078.92,15686.64,2973.13,73676.16,10811.82
ATF5;1,24489.17,3631.43,100569.66,77383.43,52967.74,14245.81,73676.16,10811.82
ATF6;5,24489.17,4149.91,100569.66,73125.63,29030.16,7975.53,73676.16,10811.82
ATF6B;0,24489.17,11239.75,100569.66,88015.46,49702.67,13507.72,73676.16,10811.82
ATMIN;63,24489.17,2938.65,100569.66,88602.08,53489.15,16770.05,73676.16,10811.82
BRD2;47,24489.17,,,,,,73676.16,
BRD4;45,12945.93,,64425.70,77200.73,53489.15,6562.56,67999.35,10811.82
BRD7;44,24489.17,2634.61,80479.92,75556.36,48010.16,19102.43,73676.16,10811.82
BRD8;39,24489.17,7259.99,100569.66,75511.32,41268.88,10983.33,73676.16,10811.82
BRWD3;104,24489.17,18465.69,100569.66,73119.42,42513.52,17141.53,40639.71,10811.82
CAMTA2;50,24489.17,18465.69,100569.66,88602.08,50622.83,30382.17,73676.16,10811.82
CDCA4;15,17309.83,16921.24,100569.66,88028.29,53489.15,,53005.00,10811.82
CDX4;5,24489.17,13409.19,100569.66,87421.13,40438.30,22208.38,19393.99,10811.82
CEBPD;1,23491.34,6320.53,,53821.68,31641.18,8367.53,73676.16,10811.82
CHD1L;51,24489.17,2811.25,100569.66,68408.18,53489.15,19644.61,73676.16,10811.82
CHD2;95,24489.17,18465.69,100569.66,82192.74,47804.53,15855.78,73676.16,10811.82
CHD6;124,17965.12,10400.75,100569.66,88602.08,51850.64,16472.85,73676.16,10811.82
CHEK2;5,24489.17,3541.43,100569.66,88602.08,53489.15,12552.33,73676.16,10811.82
CREB3L2;0,24489.17,1468.75,100569.66,88602.08,53489.15,17122.30,42344.89,10811.82
CREB3L3;0,24489.17,903.23,29704.43,74895.79,36220.37,8227.55,73676.16,10811.82
CREBBP;2,24489.17,18465.69,100569.66,88602.08,53489.15,35236.55,73676.16,10811.82
CREBZF;8,24489.17,5243.04,100569.66,70977.12,39633.87,15014.18,73676.16,10811.82
CRX;19,5211.95,9456.38,100569.66,50644.10,31027.19,46358.97,,10811.82
CSRNP1;37,24489.17,,,,29421.52,,73676.16,
DDIT3;1,24489.17,555.99,11469.12,69030.14,39881.73,12325.97,73676.16,10811.82
DLX3;0,24489.17,16252.42,100569.66,80407.83,44231.72,46358.97,73676.16,10811.82
E2F1;35,24489.17,3008.37,100569.66,88602.08,41953.25,7068.94,73676.16,10811.82
E2F2;35,24489.17,2507.73,100569.66,62502.43,36956.82,6950.61,73676.16,10811.82
E2F3;37,24489.17,4017.82,100569.66,82544.55,46269.82,19526.16,73676.16,10811.82
E2F4;32,24489.17,7814.33,,58468.86,43038.43,4392.88,73676.16,10811.82
EBF3;27,20365.10,18465.69,,80280.17,53290.05,,73676.16,10811.82
EGR3;8,24489.17,13514.67,100569.66,76309.52,53320.07,15460.53,73676.16,10811.82
EGR4;19,24489.17,4627.97,,,,,27478.99,10811.82
ELF3;13,6711.78,1200.07,12044.43,74540.74,39198.16,7813.41,73676.16,10811.82
ELK1;31,24489.17,18465.69,,62165.62,30789.63,11292.75,73676.16,10811.82
