,UniprotId
0,A0A024R0Y4
1,A0A087X169
2,A0A0A0MRP6
3,A0A0B4J2G0
4,A0A0C4DFL8
5,A0A0C4DFQ2
6,A0A0C4DH12
7,A0A0D9SEJ8
8,A0A1B0GVP4
9,A0A1C7CYV8
10,A0A1W2PPX4
11,A0A1W2PQ09
12,A0A1W2PRV1
13,A0A2R8Y491
14,A0A2R8Y560
15,A0A2R8Y739
16,A0A2R8Y7Q1
17,A0A2R8Y872
18,A0A2U3TZT0
19,A0A3B3ISS0
20,A0A3B3IT03
21,A0A494C0I1
22,A0A494C1N8
23,A0A5F9ZHH6
24,A0A669KAV7
25,A0A7I2PJA1
26,A0AUZ9
27,A0AVK6
28,A0PJY2
29,A1A519
30,A1YPR0
31,A2RRD8
32,A2RU54
33,A2RUC4
34,A4D1E1
35,A6NCS4
36,A6NFD8
37,A6NFQ7
38,A6NGD5
39,A6NHT5
40,A6NI15
41,A6NJ46
42,A6NJG6
43,A6NJL1
44,A6NJT0
45,A6NK75
46,A6NLW8
47,A6NMT0
48,A6NN14
49,A6NNA5
50,A8K8V0
51,A8MTQ0
52,A8MW92
53,A8MWA4
54,A8MZ59
55,A9YTQ3
56,B2RXF5
57,B2RXH2
58,B4DL54
59,B4DWF2
60,B7WPH3
61,C9JBD0
62,C9JFV4
63,D6R9L8
64,E7EQS8
65,E9PGG2
66,E9PIW9
67,F8VU11
68,F8W9S8
69,G3V3G0
70,G3XAK1
71,H0Y6H0
72,H0Y9M2
73,H0YEM9
74,H3BPG6
75,H7BXF5
76,I3L1J3
77,I3L2J0
78,J3KNZ9
79,J3KPG5
80,J9JIF5
81,M0R0C0
82,M0R2M9
83,O00159
84,O00167
85,O00213
86,O00255
87,O00257
88,O00321
89,O00327
90,O00358
91,O00409
92,O00422
93,O00470
94,O00482
95,O00716
96,O14497
97,O14503
98,O14519
99,O14529
100,O14578
101,O14578
102,O14627
103,O14646
104,O14647
105,O14686
106,O14709
107,O14744
108,O14757
109,O14770
110,O14771
111,O14793
112,O14813
113,O14867
114,O14896
115,O14901
116,O14933
117,O14948
118,O15014
119,O15015
120,O15047
121,O15054
122,O15060
123,O15062
124,O15090
125,O15111
126,O15119
127,O15162
128,O15164
129,O15178
130,O15198
131,O15209
132,O15226
133,O15265
134,O15266
135,O15294
136,O15350
137,O15353
138,O15355
139,O15391
140,O15409
141,O15457
142,O15516
143,O15522
144,O15525
145,O15535
146,O43147
147,O43151
148,O43159
149,O43167
150,O43172
151,O43186
152,O43189
153,O43196
154,O43248
155,O43293
156,O43296
157,O43298
158,O43309
159,O43313
160,O43365
161,O43395
162,O43422
163,O43463
164,O43474
165,O43524
166,O43593
167,O43623
168,O43680
169,O43711
170,O43741
171,O43763
172,O43791
173,O43829
174,O43889
175,O60281
176,O60284
177,O60315
178,O60341
179,O60381
180,O60393
181,O60479
182,O60481
183,O60502
184,O60506
185,O60663
186,O60674
187,O60678
188,O60682
189,O60765
190,O60870
191,O60885
192,O60902
193,O60907
194,O60934
195,O75030
196,O75030
197,O75081
198,O75132
199,O75150
200,O75151
201,O75164
202,O75182
203,O75317
204,O75346
205,O75360
206,O75362
207,O75364
208,O75376
209,O75398
210,O75437
211,O75444
212,O75446
213,O75461
214,O75467
215,O75469
216,O75475
217,O75528
218,O75529
219,O75533
220,O75564
221,O75564
222,O75582
223,O75593
224,O75603
225,O75604
226,O75626
227,O75676
228,O75688
229,O75820
230,O75840
231,O76064
232,O94776
233,O94805
234,O94864
235,O94874
236,O94916
237,O94983
238,O94993
239,O95071
240,O95076
241,O95096
242,O95163
243,O95231
244,O95238
245,O95243
246,O95251
247,O95257
248,O95343
249,O95361
250,O95365
251,O95409
252,O95416
253,O95475
254,O95503
255,O95600
256,O95625
257,O95644
258,O95677
259,O95696
260,O95704
261,O95785
262,O95789
263,O95863
264,O95931
265,O95935
266,O95936
267,O95948
268,O95983
269,O96004
270,O96006
271,O96017
272,O96019
273,O96028
274,P01100
275,P01106
276,P02788
277,P04150
278,P04198
279,P04626
280,P04637
281,P05412
282,P06401
283,P06748
284,P08048
285,P08235
286,P08651
287,P09016
288,P09086
289,P09630
290,P09874
291,P0C1Z6
292,P0C6A0
293,P0C870
294,P0CF97
295,P0CG23
296,P0CJ78
297,P0CJ79
298,P10070
299,P10071
300,P10072
301,P10073
302,P10074
303,P10075
304,P10242
305,P10243
306,P10244
307,P10275
308,P10589
309,P10828
310,P10914
311,P11142
312,P11161
313,P11308
314,P11387
315,P11388
316,P11473
317,P11474
318,P11831
319,P12524
