,EnsemblId,symbol
1,ENSG00000137203,TFAP2A
2,ENSG00000008196,TFAP2B
3,ENSG00000087510,TFAP2C
4,ENSG00000008197,TFAP2D
5,ENSG00000116819,TFAP2E
8,ENSG00000116017,ARID3A
9,ENSG00000179361,ARID3B
10,ENSG00000205143,ARID3C
13,ENSG00000196843,ARID5A
14,ENSG00000150347,ARID5B
17,ENSG00000117139,KDM5B
20,ENSG00000189079,ARID2
21,ENSG00000153207,AHCTF1
22,ENSG00000126705,AHDC1
23,ENSG00000106948,AKNA
24,ENSG00000116539,ASH1L
25,ENSG00000173894,CBX2
26,ENSG00000101457,DNTTIP1
27,ENSG00000104885,DOT1L
28,ENSG00000140632,GLYR1
29,ENSG00000137309,HMGA1
30,ENSG00000149948,HMGA2
31,ENSG00000025293,PHF20
32,ENSG00000135365,PHF21A
33,ENSG00000126464,PRR12
34,ENSG00000146285,SCML4
35,ENSG00000152217,SETBP1
36,ENSG00000080603,SRCAP
37,ENSG00000188070,C11orf95
38,ENSG00000237765,FAM200B
39,ENSG00000141258,SGSM2
40,ENSG00000214717,ZBED1
41,ENSG00000177494,ZBED2
42,ENSG00000132846,ZBED3
43,ENSG00000100426,ZBED4
44,ENSG00000236287,ZBED5
45,ENSG00000257315,ZBED6
47,ENSG00000232040,ZBED9
48,ENSG00000106546,AHR
49,ENSG00000063438,AHRR
50,ENSG00000143437,ARNT
51,ENSG00000172379,ARNT2
52,ENSG00000133794,ARNTL
53,ENSG00000029153,ARNTL2
54,ENSG00000139352,ASCL1
55,ENSG00000183734,ASCL2
56,ENSG00000176009,ASCL3
57,ENSG00000187855,ASCL4
58,ENSG00000232237,ASCL5
59,ENSG00000172238,ATOH1
60,ENSG00000179774,ATOH7
61,ENSG00000168874,ATOH8
62,ENSG00000180535,BHLHA15
63,ENSG00000205899,BHLHA9
64,ENSG00000180828,BHLHE22
65,ENSG00000125533,BHLHE23
66,ENSG00000134107,BHLHE40
67,ENSG00000123095,BHLHE41
68,ENSG00000250709,CCDC169-SOHLH2
69,ENSG00000134852,CLOCK
70,ENSG00000116016,EPAS1
71,ENSG00000146618,FERD3L
72,ENSG00000183733,FIGLA
73,ENSG00000113196,HAND1
74,ENSG00000164107,HAND2
75,ENSG00000187821,HELT
76,ENSG00000114315,HES1
77,ENSG00000069812,HES2
78,ENSG00000173673,HES3
79,ENSG00000188290,HES4
80,ENSG00000197921,HES5
81,ENSG00000144485,HES6
82,ENSG00000179111,HES7
83,ENSG00000164683,HEY1
84,ENSG00000135547,HEY2
85,ENSG00000163909,HEYL
86,ENSG00000100644,HIF1A
87,ENSG00000124440,HIF3A
92,ENSG00000104903,LYL1
93,ENSG00000125952,MAX
94,ENSG00000166823,MESP1
95,ENSG00000188095,MESP2
96,ENSG00000187098,MITF
97,ENSG00000108788,MLX
98,ENSG00000175727,MLXIP
99,ENSG00000009950,MLXIPL
100,ENSG00000070444,MNT
101,ENSG00000178860,MSC
102,ENSG00000151379,MSGN1
103,ENSG00000059728,MXD1
104,ENSG00000213347,MXD3
105,ENSG00000123933,MXD4
106,ENSG00000119950,MXI1
107,ENSG00000136997,MYC
108,ENSG00000116990,MYCL
109,ENSG00000134323,MYCN
110,ENSG00000111049,MYF5
111,ENSG00000111046,MYF6
112,ENSG00000129152,MYOD1
113,ENSG00000122180,MYOG
114,ENSG00000084676,NCOA1
115,ENSG00000140396,NCOA2
116,ENSG00000124151,NCOA3
117,ENSG00000162992,NEUROD1
118,ENSG00000171532,NEUROD2
119,ENSG00000123307,NEUROD4
120,ENSG00000164600,NEUROD6
121,ENSG00000181965,NEUROG1
122,ENSG00000178403,NEUROG2
123,ENSG00000122859,NEUROG3
124,ENSG00000171786,NHLH1
125,ENSG00000177551,NHLH2
126,ENSG00000130751,NPAS1
127,ENSG00000170485,NPAS2
128,ENSG00000151322,NPAS3
129,ENSG00000174576,NPAS4
130,ENSG00000184221,OLIG1
131,ENSG00000205927,OLIG2
132,ENSG00000177468,OLIG3
133,ENSG00000168267,PTF1A
134,ENSG00000260428,SCX
135,ENSG00000112246,SIM1
136,ENSG00000159263,SIM2
137,ENSG00000165643,SOHLH1
138,ENSG00000120669,SOHLH2
139,ENSG00000072310,SREBF1
140,ENSG00000198911,SREBF2
141,ENSG00000162367,TAL1
142,ENSG00000186051,TAL2
143,ENSG00000140262,TCF12
144,ENSG00000125878,TCF15
145,ENSG00000118526,TCF21
146,ENSG00000163792,TCF23
147,ENSG00000261787,TCF24
148,ENSG00000071564,TCF3
149,ENSG00000196628,TCF4
150,ENSG00000101190,TCFL5
151,ENSG00000090447,TFAP4
152,ENSG00000068323,TFE3
153,ENSG00000112561,TFEB
154,ENSG00000105967,TFEC
155,ENSG00000122691,TWIST1
156,ENSG00000233608,TWIST2
157,ENSG00000158773,USF1
158,ENSG00000105698,USF2
159,ENSG00000176542,USF3
160,ENSG00000143157,POGK
161,ENSG00000267281,AC023509.3
163,ENSG00000123268,ATF1
164,ENSG00000115966,ATF2
165,ENSG00000162772,ATF3
166,ENSG00000128272,ATF4
167,ENSG00000169136,ATF5
168,ENSG00000118217,ATF6
169,ENSG00000213676,ATF6B
170,ENSG00000170653,ATF7
171,ENSG00000156273,BACH1
