,0
0,TFAP2A
1,TFAP2B
2,TFAP2C
3,TFAP2D
4,TFAP2E
5,ARID3A
6,ARID3B
7,ARID3C
8,ARID5A
9,ARID5B
10,KDM5B
11,ARID2
12,AHCTF1
13,AHDC1
14,AKNA
15,ASH1L
16,CBX2
17,DNTTIP1
18,DOT1L
19,GLYR1
20,HMGA1
21,HMGA2
22,PHF20
23,PHF21A
24,PRR12
25,SCML4
26,SETBP1
27,SRCAP
28,C11orf95
29,FAM200B
30,SGSM2
31,ZBED1
32,ZBED2
33,ZBED3
34,ZBED4
35,ZBED5
36,ZBED6
37,ZBED9
38,AHR
39,AHRR
40,ARNT
41,ARNT2
42,ARNTL
43,ARNTL2
44,ASCL1
45,ASCL2
46,ASCL3
47,ASCL4
48,ASCL5
49,ATOH1
50,ATOH7
51,ATOH8
52,BHLHA15
53,BHLHA9
54,BHLHE22
55,BHLHE23
56,BHLHE40
57,BHLHE41
58,CCDC169-SOHLH2
59,CLOCK
60,EPAS1
61,FERD3L
62,FIGLA
63,HAND1
64,HAND2
65,HELT
66,HES1
67,HES2
68,HES3
69,HES4
70,HES5
71,HES6
72,HES7
73,HEY1
74,HEY2
75,HEYL
76,HIF1A
77,HIF3A
78,LYL1
79,MAX
80,MESP1
81,MESP2
82,MITF
83,MLX
84,MLXIP
85,MLXIPL
86,MNT
87,MSC
88,MSGN1
89,MXD1
90,MXD3
91,MXD4
92,MXI1
93,MYC
94,MYCL
95,MYCN
96,MYF5
97,MYF6
98,MYOD1
99,MYOG
100,NCOA1
101,NCOA2
102,NCOA3
103,NEUROD1
104,NEUROD2
105,NEUROD4
106,NEUROD6
107,NEUROG1
108,NEUROG2
109,NEUROG3
110,NHLH1
111,NHLH2
112,NPAS1
113,NPAS2
114,NPAS3
115,NPAS4
116,OLIG1
117,OLIG2
118,OLIG3
119,PTF1A
120,SCX
121,SIM1
122,SIM2
123,SOHLH1
124,SOHLH2
125,SREBF1
126,SREBF2
127,TAL1
128,TAL2
129,TCF12
130,TCF15
131,TCF21
132,TCF23
133,TCF24
134,TCF3
135,TCF4
136,TCFL5
137,TFAP4
138,TFE3
139,TFEB
140,TFEC
141,TWIST1
142,TWIST2
143,USF1
144,USF2
145,USF3
146,POGK
147,AC023509.3
148,ATF1
149,ATF2
150,ATF3
151,ATF4
152,ATF5
153,ATF6
154,ATF6B
155,ATF7
156,BACH1
157,BACH2
158,BATF
159,BATF2
160,BATF3
161,CEBPA
162,CEBPB
163,CEBPD
164,CEBPE
165,CEBPG
166,CREB1
167,CREB3
168,CREB3L1
169,CREB3L2
170,CREB3L3
171,CREB3L4
172,CREB5
173,CREBL2
174,CREBZF
175,CREM
176,DBP
177,DDIT3
178,FOS
179,FOSB
180,FOSL1
181,FOSL2
182,HLF
183,JDP2
184,JUN
185,JUNB
186,JUND
187,MAF
188,MAFA
189,MAFB
190,MAFF
191,MAFG
192,MAFK
193,NFE2
194,NFE2L1
195,NFE2L2
196,NFE2L3
197,NFIL3
198,NRL
199,TEF
200,XBP1
201,AC008770.3
202,AC092835.1
203,AC138696.1
204,AEBP2
205,AKAP8
206,AKAP8L
207,ANKZF1
208,ATMIN
209,BCL11A
210,BCL11B
211,BCL6
212,BCL6B
213,BNC1
214,BNC2
215,CASZ1
216,CCDC17
217,CHAMP1
218,CPXCR1
219,CTCF
220,CTCFL
221,DPF1
222,DPF3
223,DZIP1
224,E4F1
225,EEA1
226,EGR1
227,EGR2
228,EGR3
229,EGR4
230,FAM170A
231,FEZF1
232,FEZF2
233,FIZ1
234,GFI1
235,GFI1B
236,GLI1
237,GLI2
238,GLI3
239,GLI4
240,GLIS1
241,GLIS2
242,GLIS3
243,GTF3A
244,GZF1
245,HIC1
246,HIC2
247,HINFP
248,HIVEP1
249,HIVEP2
250,HIVEP3
251,HKR1
252,IKZF1
253,IKZF2
254,IKZF3
255,IKZF4
256,IKZF5
257,INSM1
258,INSM2
259,JAZF1
260,KAT7
261,KCMF1
262,KIN
263,KLF1
264,KLF10
265,KLF11
266,KLF12
267,KLF13
268,KLF14
269,KLF15
270,KLF16
271,KLF17
272,KLF2
273,KLF3
274,KLF4
275,KLF5
276,KLF6
277,KLF7
278,KLF8
279,KLF9
280,L3MBTL1
281,L3MBTL3
282,L3MBTL4
283,MAZ
284,MECOM
285,MTF1
286,MYNN
287,MYT1
288,MYT1L
289,MZF1
290,OSR1
291,OSR2
292,OVOL1
293,OVOL2
294,OVOL3
295,PEG3
296,PLAG1
297,PLAGL1
298,PLAGL2
299,PRDM1
300,PRDM10
301,PRDM12
302,PRDM13
303,PRDM14
304,PRDM15
305,PRDM16
306,PRDM2
307,PRDM4
308,PRDM5
309,PRDM6
310,PRDM8
311,PRDM9
312,PRMT3
313,RBAK
314,RBSN
315,REPIN1
316,REST
317,RLF
318,RREB1
319,SALL1
320,SALL2
321,SALL3
322,SALL4
323,SCRT1
324,SCRT2
325,SLC2A4RG
326,SNAI1
327,SNAI2
328,SNAI3
329,SP1
330,SP2
331,SP3
332,SP4
333,SP5
334,SP6
335,SP7
336,SP8
337,SP9
338,ST18
339,TRAFD1
340,TSHZ1
341,TSHZ2
342,TSHZ3
343,VEZF1
344,WIZ
345,WT1
346,YY1
347,YY2
348,ZBTB1
349,ZBTB10
350,ZBTB11
351,ZBTB12
352,ZBTB14
353,ZBTB16
354,ZBTB17
355,ZBTB18
356,ZBTB2
357,ZBTB20
358,ZBTB21
359,ZBTB22
360,ZBTB25
361,ZBTB26
362,ZBTB3
363,ZBTB32
364,ZBTB33
365,ZBTB34
366,ZBTB37
367,ZBTB38
368,ZBTB39
369,ZBTB4
370,ZBTB40
371,ZBTB41
372,ZBTB42
373,ZBTB43
374,ZBTB44
375,ZBTB45
376,ZBTB46
377,ZBTB47
378,ZBTB48
379,ZBTB49
380,ZBTB5
381,ZBTB6
382,ZBTB7A
383,ZBTB7B
384,ZBTB7C
385,ZBTB8A
386,ZBTB8B
387,ZBTB9
388,ZFAT
389,ZFP1
390,ZFP14
391,ZFP2
392,ZFP28
393,ZFP3
394,ZFP30
395,ZFP37
396,ZFP41
397,ZFP42
398,ZFP57
399,ZFP62
400,ZFP64
401,ZFP69
402,ZFP69B
403,ZFP82
404,ZFP90
405,ZFP91
406,ZFP92
407,ZFPM1
408,ZFPM2
409,ZFX
410,ZFY
411,ZIC1
412,ZIC2
413,ZIC3
414,ZIC4
415,ZIC5
416,ZIK1
417,ZIM2
418,ZIM3
419,ZKSCAN1
420,ZKSCAN2
421,ZKSCAN3
422,ZKSCAN4
423,ZKSCAN5
424,ZKSCAN7
425,ZKSCAN8
426,ZMAT1
427,ZMAT4
428,ZNF10
429,ZNF100
430,ZNF101
431,ZNF107
432,ZNF112
433,ZNF114
434,ZNF117
435,ZNF12
436,ZNF121
437,ZNF124
438,ZNF131
439,ZNF132
440,ZNF133
441,ZNF134
442,ZNF135
443,ZNF136
444,ZNF138
445,ZNF14
446,ZNF140
447,ZNF141
448,ZNF142
449,ZNF143
450,ZNF146
451,ZNF148
452,ZNF154
453,ZNF155
454,ZNF157
455,ZNF16
456,ZNF160
457,ZNF165
458,ZNF169
459,ZNF17
460,ZNF174
461,ZNF175
462,ZNF177
463,ZNF18
464,ZNF180
465,ZNF181
466,ZNF182
467,ZNF184
468,ZNF189
469,ZNF19
470,ZNF195
471,ZNF197
472,ZNF2
473,ZNF20
474,ZNF200
475,ZNF202
476,ZNF205
477,ZNF207
478,ZNF208
479,ZNF211
480,ZNF212
481,ZNF213
482,ZNF214
483,ZNF215
484,ZNF217
485,ZNF219
486,ZNF22
487,ZNF221
488,ZNF222
489,ZNF223
490,ZNF224
491,ZNF225
492,ZNF226
493,ZNF227
494,ZNF229
495,ZNF23
496,ZNF230
497,ZNF232
498,ZNF233
499,ZNF234
500,ZNF235
501,ZNF236
502,ZNF239
503,ZNF24
504,ZNF248
505,ZNF25
506,ZNF250
507,ZNF251
508,ZNF253
509,ZNF254
510,ZNF256
511,ZNF257
512,ZNF26
513,ZNF260
514,ZNF263
515,ZNF264
516,ZNF266
517,ZNF267
518,ZNF268
519,ZNF273
520,ZNF274
521,ZNF275
522,ZNF276
523,ZNF28
524,ZNF280A
525,ZNF280B
526,ZNF280C
527,ZNF280D
528,ZNF281
529,ZNF282
530,ZNF283
531,ZNF284
532,ZNF285
533,ZNF286A
534,ZNF286B
535,ZNF287
536,ZNF292
537,ZNF296
538,ZNF3
539,ZNF30
540,ZNF300
541,ZNF302
542,ZNF304
543,ZNF311
544,ZNF316
545,ZNF317
546,ZNF318
547,ZNF319
548,ZNF32
549,ZNF320
550,ZNF322
551,ZNF324
552,ZNF324B
553,ZNF326
554,ZNF329
555,ZNF331
556,ZNF333
557,ZNF334
558,ZNF335
559,ZNF337
560,ZNF33A
561,ZNF33B
562,ZNF34
563,ZNF341
564,ZNF343
565,ZNF345
566,ZNF346
567,ZNF347
568,ZNF35
569,ZNF350
570,ZNF354A
571,ZNF354B
572,ZNF354C
573,ZNF358
574,ZNF362
575,ZNF365
576,ZNF366
577,ZNF367
578,ZNF37A
579,ZNF382
580,ZNF383
581,ZNF384
582,ZNF385A
583,ZNF385B
584,ZNF385C
585,ZNF385D
586,ZNF391
587,ZNF394
588,ZNF395
