GeneID,Complex,Subcomplex or Module,Own-complex paralog,Other-complex Paralogues,Notes,Source
ATXN7,SAGA,DUB,,,,Herbst et al. 2021
ATXN7L3,SAGA,DUB,,,,Herbst et al. 2021
ENY2,SAGA,DUB,,,,Herbst et al. 2021
USP22,SAGA,DUB,,,,Herbst et al. 2021
KAT2A,SAGA,HAT,,,,Herbst et al. 2021
SGF29,SAGA,HAT,,,,Herbst et al. 2021
TADA2B,SAGA,HAT,,,,Herbst et al. 2021
TADA3,SAGA,HAT,,,,Herbst et al. 2021
SF3B3,SAGA,SPL,,,,Herbst et al. 2021
SF3B5,SAGA,SPL,,,,Herbst et al. 2021
SUPT3H,SAGA,Core,,,,Herbst et al. 2021
SUPT7L,SAGA,Core,,,,Herbst et al. 2021
SUPT20H,SAGA,Core,,,,Herbst et al. 2021
TADA1,SAGA,Core,,,,Herbst et al. 2021
TAF5L,SAGA,Core,,,,Herbst et al. 2021
TAF6L,SAGA,Core,,,,Herbst et al. 2021
TAF9B,SAGA,Core,,,,Herbst et al. 2021
TAF10,SAGA,Core,,,,Herbst et al. 2021
TAF12,SAGA,Core,,,,Herbst et al. 2021
TRRAP,SAGA,TRRAP,,,,Herbst et al. 2021
