tissueSiteDetailId,mean,median,std,count
Thyroid,121.51408882082694,121.51408882082694,23.514133496541668,653
Testis,223.3665373961219,223.3665373961219,29.946671630583364,361
Small_Intestine_Terminal_Ileum,84.3463101604278,84.3463101604278,23.105589452017682,187
Skin_Not_Sun_Exposed_Suprapubic,79.06448675496688,79.06448675496688,10.433363158136482,604
Brain_Frontal_Cortex_BA9,69.39373205741627,69.39373205741627,21.681360624092274,209
Fallopian_Tube,103.83333333333333,103.83333333333333,15.37234819046488,9
Bladder,85.02047619047619,85.02047619047619,12.993198395127635,21
Vagina,81.51814102564103,81.51814102564103,16.205086563131136,156
Whole_Blood,38.50209668874172,38.50209668874172,22.464532516363008,755
Brain_Amygdala,44.26171052631579,44.26171052631579,17.315329182712023,152
Pituitary,159.86109540636042,159.86109540636042,29.737155421812012,283
Minor_Salivary_Gland,70.79574074074073,70.79574074074073,13.330002630544207,162
Adipose_Subcutaneous,72.37582202111614,72.37582202111614,12.746089095099284,663
Adrenal_Gland,64.85949612403101,64.85949612403101,12.863494201788344,258
Heart_Atrial_Appendage,37.241846153846154,37.241846153846154,10.75447075916173,429
Breast_Mammary_Tissue,76.24810457516341,76.24810457516341,21.040158068018176,459
Stomach,62.833481894150424,62.833481894150424,16.24615217761926,359
Brain_Caudate_basal_ganglia,55.385,55.385,22.594725529378916,246
Colon_Transverse,66.33460591133004,66.33460591133004,14.302458062098736,406
Brain_Cerebellum,126.60211618257262,126.60211618257262,28.841740975411415,241
Esophagus_Muscularis,75.74256310679611,75.74256310679611,14.636672801973711,515
Liver,41.15030973451328,41.15030973451328,11.532738485880556,226
Muscle_Skeletal,56.55951432129515,56.55951432129515,22.50367452244048,803
Prostate,105.72461224489798,105.72461224489798,24.116353744106313,245
Pancreas,36.64326219512195,36.64326219512195,10.70623208774308,328
Nerve_Tibial,104.46486268174475,104.46486268174475,13.764148406726942,619
Brain_Hippocampus,47.217563451776655,47.217563451776655,21.58293535716958,197
Spleen,89.22966804979252,89.22966804979252,18.58880602495431,241
Colon_Sigmoid,80.83517426273458,80.83517426273458,13.502247168117439,373
Brain_Anterior_cingulate_cortex_BA24,54.72977272727272,54.72977272727272,20.35368508499766,176
Esophagus_Gastroesophageal_Junction,78.97669333333333,78.97669333333333,17.398931545719186,375
Brain_Hypothalamus,53.22147029702971,53.22147029702971,22.442862396232936,202
Brain_Cortex,70.44121568627452,70.44121568627452,19.60517363922257,255
Heart_Left_Ventricle,26.87901851851852,26.87901851851852,12.501483259946841,432
Artery_Tibial,107.63443438914028,107.63443438914028,22.439948592968,663
Uterus,108.1479577464789,108.1479577464789,18.003266704306295,142
Ovary,118.95222222222223,118.95222222222223,22.316224057237807,180
Cells_EBV-transformed_lymphocytes,110.93425287356321,110.93425287356321,15.952400218075779,174
Artery_Coronary,83.593,83.593,19.160241978291054,240
Brain_Spinal_cord_cervical_c-1,57.850188679245285,57.850188679245285,18.820309599566095,159
Adipose_Visceral_Omentum,63.096025878003694,63.096025878003694,14.261984884895975,541
Brain_Nucleus_accumbens_basal_ganglia,59.177296747967475,59.177296747967475,27.9697742048533,246
Brain_Cerebellar_Hemisphere,128.02144186046513,128.02144186046513,37.87100999955183,215
Esophagus_Mucosa,62.57466666666667,62.57466666666667,10.740355406515105,555
Cells_Cultured_fibroblasts,86.73537698412697,86.73537698412697,18.54351459643079,504
Artery_Aorta,97.63409722222222,97.63409722222222,20.376715199784787,432
Brain_Putamen_basal_ganglia,52.32107317073171,52.32107317073171,24.06939043518708,205
Kidney_Medulla,60.707499999999996,60.707499999999996,22.24217769801329,4
Lung,90.89032871972319,90.89032871972319,13.859498487854815,578
Kidney_Cortex,48.723176470588236,48.723176470588236,24.159911287905143,85
Brain_Substantia_nigra,45.64719424460432,45.64719424460432,17.69090572483915,139
Cervix_Endocervix,113.676,113.676,17.42623263932856,10
Skin_Sun_Exposed_Lower_leg,82.0096433666191,82.0096433666191,11.921021125137111,701
Cervix_Ectocervix,102.32222222222222,102.32222222222222,18.821253812159497,9
