,Gene Name,Complex,Subcomplex or Module,Own-complex paralog,Other-complex Paralogues,Notes,Source
0,BAF180,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
1,BCL11A,BAF,esBAF,[BCL11B],,,Alfert et al. Epigenetics & Chromatin (2019)
2,BCL11B,BAF,esBAF,[BCL11A],,,Alfert et al. Epigenetics & Chromatin (2019)
3,BAF60A,BAF,esBAF,[BAF60B],,,Alfert et al. Epigenetics & Chromatin (2019)
4,BAF60B,BAF,esBAF,[BAF60A],,,Alfert et al. Epigenetics & Chromatin (2019)
5,BAF250A,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
6,BAF200,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
7,BAF45A,BAF,esBAF,[BAF45D],"[BAF45B, BAF45C]",,Alfert et al. Epigenetics & Chromatin (2019)
8,BAF45D,BAF,esBAF,[BAF45A],"[BAF45B, BAF45C]",,Alfert et al. Epigenetics & Chromatin (2019)
9,BAF155,BAF,esBAF,,,dimerizes with self ,Alfert et al. Epigenetics & Chromatin (2019)
10,BRG1,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
11,BRD9,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
12,BAF57,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
13,BAF47,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
14,SS18,BAF,esBAF,,[CREST],,Alfert et al. Epigenetics & Chromatin (2019)
15,BCL7A,BAF,esBAF,"[BCL7B, BCL7C]",,,Alfert et al. Epigenetics & Chromatin (2019)
16,BCL7B,BAF,esBAF,"[BCL7A, BCL7C]",,,Alfert et al. Epigenetics & Chromatin (2019)
17,BCL7C,BAF,esBAF,"[BCL7A, BCL7B]",,,Alfert et al. Epigenetics & Chromatin (2019)
18,BAF53A,BAF,esBAF,,[BAF53B],,Alfert et al. Epigenetics & Chromatin (2019)
19,BAF180,BAF,npBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
20,BCL11A,BAF,npBAF,[BCL11B],,,Alfert et al. Epigenetics & Chromatin (2019)
21,BCL11B,BAF,npBAF,[BCL11A],,,Alfert et al. Epigenetics & Chromatin (2019)
22,BAF60A,BAF,npBAF,[BAF60C],,,Alfert et al. Epigenetics & Chromatin (2019)
23,BAF60C,BAF,npBAF,[BAF60A],,,Alfert et al. Epigenetics & Chromatin (2019)
24,BAF250A,BAF,npBAF,[BAF250B],,,Alfert et al. Epigenetics & Chromatin (2019)
