tissueSiteDetailId,ENSG00000156603.15,ENSG00000196235.13,ENSG00000117713.18,ENSG00000153922.10,ENSG00000167548.14
Thyroid,653,653,653,653,653
Testis,361,361,361,361,361
Small_Intestine_Terminal_Ileum,187,187,187,187,187
Skin_Not_Sun_Exposed_Suprapubic,604,604,604,604,604
Brain_Frontal_Cortex_BA9,209,209,209,209,209
Fallopian_Tube,9,9,9,9,9
Bladder,21,21,21,21,21
Vagina,156,156,156,156,156
Whole_Blood,755,755,755,755,755
Brain_Amygdala,152,152,152,152,152
Pituitary,283,283,283,283,283
Minor_Salivary_Gland,162,162,162,162,162
Adipose_Subcutaneous,663,663,663,663,663
Adrenal_Gland,258,258,258,258,258
Heart_Atrial_Appendage,429,429,429,429,429
Breast_Mammary_Tissue,459,459,459,459,459
Stomach,359,359,359,359,359
Brain_Caudate_basal_ganglia,246,246,246,246,246
Colon_Transverse,406,406,406,406,406
Brain_Cerebellum,241,241,241,241,241
Esophagus_Muscularis,515,515,515,515,515
Liver,226,226,226,226,226
Muscle_Skeletal,803,803,803,803,803
Prostate,245,245,245,245,245
Pancreas,328,328,328,328,328
Nerve_Tibial,619,619,619,619,619
Brain_Hippocampus,197,197,197,197,197
Spleen,241,241,241,241,241
Colon_Sigmoid,373,373,373,373,373
Brain_Anterior_cingulate_cortex_BA24,176,176,176,176,176
Esophagus_Gastroesophageal_Junction,375,375,375,375,375
Brain_Hypothalamus,202,202,202,202,202
Brain_Cortex,255,255,255,255,255
Heart_Left_Ventricle,432,432,432,432,432
Artery_Tibial,663,663,663,663,663
Uterus,142,142,142,142,142
Ovary,180,180,180,180,180
Cells_EBV-transformed_lymphocytes,174,174,174,174,174
Artery_Coronary,240,240,240,240,240
Brain_Spinal_cord_cervical_c-1,159,159,159,159,159
Adipose_Visceral_Omentum,541,541,541,541,541
Brain_Nucleus_accumbens_basal_ganglia,246,246,246,246,246
Brain_Cerebellar_Hemisphere,215,215,215,215,215
Esophagus_Mucosa,555,555,555,555,555
Cells_Cultured_fibroblasts,504,504,504,504,504
Artery_Aorta,432,432,432,432,432
Brain_Putamen_basal_ganglia,205,205,205,205,205
Kidney_Medulla,4,4,4,4,4
Lung,578,578,578,578,578
Kidney_Cortex,85,85,85,85,85
Brain_Substantia_nigra,139,139,139,139,139
Cervix_Endocervix,10,10,10,10,10
Skin_Sun_Exposed_Lower_leg,701,701,701,701,701
Cervix_Ectocervix,9,9,9,9,9
