Ensembl,GeneID,Gene Names,Primary Gene Name
ENSG00000005075,5439,"['POLR2J', 'POLR2J1']",POLR2J
ENSG00000005339,1387,"['CREBBP', 'CBP']",CREBBP
ENSG00000006712,54623,"['PAF1', 'PD2']",PAF1
ENSG00000008838,9862,"['MED24', 'ARC100', 'CRSP4', 'DRIP100', 'KIAA0130', 'THRAP4', 'TRAP100']",MED24
ENSG00000011007,6924,"['ELOA', 'TCEB3', 'MSTP059']",ELOA
ENSG00000011332,8193,"['DPF1', 'BAF45B', 'NEUD4']",DPF1
ENSG00000020426,4331,"['MNAT1', 'CAP35', 'MAT1', 'RNF66']",MNAT1
ENSG00000028310,65980,"['BRD9', 'UNQ3040/PRO9856']",BRD9
ENSG00000032219,5926,"['ARID4A', 'RBBP1', 'RBP1']",ARID4A
ENSG00000042429,9440,"['MED17', 'ARC77', 'CRSP6', 'DRIP77', 'DRIP80', 'TRAP80']",MED17
ENSG00000047315,5431,['POLR2B'],POLR2B
ENSG00000049618,57492,"['ARID1B', 'BAF250B', 'DAN15', 'KIAA1235', 'OSA2']",ARID1B
ENSG00000054267,51742,"['ARID4B', 'BRCAA1', 'RBBP1L1', 'RBP1L1', 'SAP180']",ARID4B
ENSG00000063322,55588,"['MED29', 'IXL']",MED29
ENSG00000064313,6873,"['TAF2', 'CIF150', 'TAF2B']",TAF2
ENSG00000064995,6882,"['TAF11', 'TAF2I', 'PRO2134']",TAF11
ENSG00000065883,8621,"['CDK13', 'CDC2L', 'CDC2L5', 'CHED', 'KIAA1791']",CDK13
ENSG00000066117,6602,"['SMARCD1', 'BAF60A']",SMARCD1
ENSG00000072364,27125,"['AFF4', 'AF5Q31', 'MCEF', 'HSPC092']",AFF4
ENSG00000073584,6605,"['SMARCE1', 'BAF57']",SMARCE1
ENSG00000075624,60,['ACTB'],ACTB
ENSG00000077080,51412,"['ACTL6B', 'ACTL6', 'BAF53B']",ACTL6B
ENSG00000077721,7319,"['UBE2A', 'RAD6A']",UBE2A
ENSG00000078403,8028,"['MLLT10', 'AF10']",MLLT10
ENSG00000080503,6595,"['SMARCA2', 'BAF190B', 'BRM', 'SNF2A', 'SNF2L2']",SMARCA2
ENSG00000082014,6604,"['SMARCD3', 'BAF60C']",SMARCD3
ENSG00000082258,905,['CCNT2'],CCNT2
ENSG00000083168,7994,"['KAT6A', 'MOZ', 'MYST3', 'RUNXBP2', 'ZNF220']",KAT6A
ENSG00000084676,8648,"['NCOA1', 'BHLHE74', 'SRC1']",NCOA1
ENSG00000086758,10075,"['HUWE1', 'KIAA0312', 'KIAA1578', 'UREB1', 'HSPC272']",HUWE1
ENSG00000087152,,['ATXN7L3'],ATXN7L3
ENSG00000090061,8812,"['CCNK', 'CPR4']",CCNK
ENSG00000092201,11198,"['SUPT16H', 'FACT140', 'FACTP140']",SUPT16H
ENSG00000099381,9739,"['SETD1A', 'KIAA0339', 'KMT2F', 'SET1', 'SET1A']",SETD1A
ENSG00000099385,9274,['BCL7C'],BCL7C
ENSG00000099817,5434,['POLR2E'],POLR2E
ENSG00000099917,51586,"['MED15', 'ARC105', 'CTG7A', 'PCQAP', 'TIG1', 'TNRC7']",MED15
ENSG00000099956,6598,"['SMARCB1', 'BAF47', 'INI1', 'SNF5L1']",SMARCB1
ENSG00000100142,5435,"['POLR2F', 'POLRF']",POLR2F
ENSG00000100393,2033,"['EP300', 'P300']",EP300
ENSG00000101158,51497,"['NELFCD', 'NELFD', 'TH1', 'TH1L', 'HSPC130']",NELFCD
ENSG00000102038,6594,"['SMARCA1', 'SNF2L', 'SNF2L1']",SMARCA1
ENSG00000102710,55578,"['SUPT20H', 'C13orf19', 'FAM48A', 'FP757']",SUPT20H
ENSG00000102978,5432,"['POLR2C', 'A-152E5.7']",POLR2C
ENSG00000103495,4150,"['MAZ', 'ZNF801']",MAZ
ENSG00000103510,84148,"['KAT8', 'MOF', 'MYST1', 'PP7073']",KAT8
