,Gene Name
0,BAF180
1,BCL11A
2,BCL11B
3,BAF60A
4,BAF60B
5,BAF250A
6,BAF200
7,BAF45A
8,BAF45D
9,BAF155
10,BRG1
11,BRD9
12,BAF57
13,BAF47
14,SS18
15,BCL7A
16,BCL7B
17,BCL7C
18,BAF53A
19,BAF180
20,BCL11A
21,BCL11B
22,BAF60A
23,BAF60C
24,BAF250A
25,BAF250B
26,BAF200
27,BAF45A
28,BAF45D
29,BAF170
30,BAF155
31,BRG1
32,BRM
33,BRD9
34,BAF57
35,BAF47
36,SS18
37,BCL7A
38,BCL7B
39,BCL7C
40,BAF53A
41,BAF180
42,BCL11A
43,BCL11B
44,BAF60A
45,BAF60C
46,BAF250A
47,BAF250B
48,BAF200
49,BAF45B
50,BAF45C
51,BAF170
52,BAF155
53,BRG1
54,BRM
55,BRD9
56,BAF57
57,BAF47
58,CREST
59,BCL7A
60,BCL7B
61,BCL7C
62,BAF53B
63,SMARCA4
64,SMARCA2
65,BCL7A
66,BCL7B
67,BCL7C
68,ACTB
69,ACTL6A
70,SMARCC1
71,SMARCC2
72,SMARCE1
73,SMARCD1
74,SMARCD2
75,SS18
76,ARID1A
77,ARID1B
78,DPF2
79,SMARCB1
0,MED6
1,MED8
2,MED11
3,MED17
4,MED18
5,MED20
6,MED22
7,MED27
8,MED28
9,MED14
10,MED30
11,MED4
12,MED7
13,MED10
14,MED19
15,MED21
16,MED1
17,MED31
18,MED9
19,MED26
20,MED15
21,MED16
22,MED23
23,MED24
24,MED25
25,MED29
26,MED12
27,MED13
28,CDK8
29,CCNC
30,MED12L
31,MED13L
32,CDK19
0,EP300
1,CREBBP
0,ATXN7
1,ATXN7L3
2,ENY2
3,USP22
4,KAT2A
5,SGF29
6,TADA2B
7,TADA3
8,SF3B3
9,SF3B5
10,SUPT3H
11,SUPT7L
12,SUPT20H
13,TADA1
14,TAF5L
15,TAF6L
16,TAF9B
17,TAF10
18,TAF12
19,TRRAP
0,TAF1
1,TAF2
2,TAF6
3,TAF9
4,TBP
5,TAF4
6,TAF8
7,TAF10
8,TAF12
9,TAF4
10,TAF3
11,TAF7
12,TAF11
13,TAF13
14,TAF12
15,TAF5
16,TAF9
17,TAF6
0,GTF2B
1,GTF2A1
2,GTF2A2
3,GTF2E1
4,GTF2E2
5,GTF2F1
6,GTF2F2
7,ERCC3
8,GTF2H1
9,ERCC2
10,CDK7
11,CCNH
12,GTF2H2
13,MNAT1
14,GTF2H4
15,SUPT16H
16,SSRP1
17,NELFA
18,NELFB
19,NELFE
20,NELFCD
21,SUPT4H1
22,SUPT5H
23,INTS1
24,INTS4
25,INTS7
26,INTS2
27,INTS5
28,INTS8
29,INTS10
30,INTS9
31,INTS12
32,SETD1A
33,SETD1B
34,DPY30
35,ASH2L
36,WDR5
37,WDR82
38,CXXC1
39,RBBP5
40,MEN1
41,KMT2A
42,KMT2B
43,KMT2D
44,AFF1
45,LEO1
46,DOT1L
47,ELL
48,CTR9
49,PAF1
50,CDC73
51,WDR61
52,ELOA
53,UBE2A
54,HUWE1
55,MLLT1
56,MLLT10
57,SUPT6H
58,TRIM28
59,AFF4
60,EP400
61,KAT2A
62,KAT2B
63,KAT5
64,KAT6A
65,KAT6B
66,KAT8
67,POLR2B
68,POLR2C
69,POLR2A
70,POLR2J
71,POLR2K
72,POLR2D
73,POLR2H
74,POLR2G
75,POLR2F
76,POLR2E
77,CDK12
78,CCNK
79,CDK13
80,CDK9
81,CCNT1
82,CCNT2
83,NCOA1
84,NCOA3
85,NCOA6
86,CHD1
87,SMARCA5
88,MAZ
89,BPTF
90,ARID1A
91,ARID1B
92,ARID2
93,ARID4A
94,ARID4B
95,RUVBL1
96,RUVBL2
97,SMARCB1
98,INO80B
99,SMARCA4
100,SMARCD1
101,SMARCA1
102,SMARCC1
103,SMARCC2
104,SMARCD2
105,SMARCD3
106,SMARCE1
107,BRD9
108,SMARCAD1
