UniprotID,Bgee,GeneID,Gene Names,GTEXGeneCode
A0JLT2,ENSG00000156603,219541,"['MED19', 'LCMR1']",ENSG00000156603.15
O00255,ENSG00000133895,4221,"['MEN1', 'SCG2']",ENSG00000133895.14
O00267,ENSG00000196235,6829,"['SUPT5H', 'SPT5', 'SPT5H']",ENSG00000196235.13
O00268,ENSG00000130699,6874,"['TAF4', 'TAF2C', 'TAF2C1', 'TAF4A', 'TAFII130', 'TAFII135']",ENSG00000130699.18
O14497,ENSG00000117713,8289,"['ARID1A', 'BAF250', 'BAF250A', 'C1orf4', 'OSA1', 'SMARCF1']",ENSG00000117713.18
O14646,ENSG00000153922,1105,['CHD1'],ENSG00000153922.10
O14686,ENSG00000167548,8085,"['KMT2D', 'ALR', 'MLL2', 'MLL4']",ENSG00000167548.14
O15047,ENSG00000099381,9739,"['SETD1A', 'KIAA0339', 'KMT2F', 'SET1', 'SET1A']",ENSG00000099381.17
O15265,ENSG00000163635,6314,"['ATXN7', 'SCA7']",ENSG00000163635.17
O15514,ENSG00000144231,5433,['POLR2D'],ENSG00000144231.10
O43513,ENSG00000155868,9443,"['MED7', 'ARC34', 'CRSP9']",ENSG00000155868.7
O60244,ENSG00000180182,9282,"['MED14', 'ARC150', 'CRSP2', 'CXorf4', 'DRIP150', 'EXLM1', 'RGR1', 'TRAP170']",ENSG00000180182.10
O60264,ENSG00000153147,8467,"['SMARCA5', 'SNF2H', 'WCRF135']",ENSG00000153147.5
O60563,ENSG00000129315,904,['CCNT1'],ENSG00000129315.10
O60583,ENSG00000082258,905,['CCNT2'],ENSG00000082258.12
O75177,ENSG00000184402,26039,"['SS18L1', 'CREST', 'KIAA0693']",ENSG00000184402.14
O75448,ENSG00000008838,9862,"['MED24', 'ARC100', 'CRSP4', 'DRIP100', 'KIAA0130', 'THRAP4', 'TRAP100']",ENSG00000008838.19
O75486,ENSG00000196284,8464,"['SUPT3H', 'SPT3']",ENSG00000196284.15
O75528,ENSG00000171148,10474,"['TADA3', 'ADA3', 'TADA3L']",ENSG00000171148.13
O75529,ENSG00000135801,27097,"['TAF5L', 'PAF65B']",ENSG00000135801.9
O75586,ENSG00000133997,10001,"['MED6', 'ARC33']",ENSG00000133997.11
O75909,ENSG00000090061,8812,"['CCNK', 'CPR4']",ENSG00000090061.17
O94805,ENSG00000077080,51412,"['ACTL6B', 'ACTL6', 'BAF53B']",ENSG00000077080.9
O94864,ENSG00000119760,9913,"['SUPT7L', 'KIAA0764']",ENSG00000119760.15
O95243,ENSG00000129071,8930,"['MBD4', 'MED1']",ENSG00000129071.9
O95402,ENSG00000105085,9441,"['MED26', 'ARC70', 'CRSP7']",ENSG00000105085.10
O96019,ENSG00000136518,86,"['ACTL6A', 'BAF53', 'BAF53A', 'INO80K']",ENSG00000136518.16
P13984,ENSG00000188342,2963,"['GTF2F2', 'RAP30']",ENSG00000188342.11
P18074,ENSG00000104884,2068,"['ERCC2', 'XPD', 'XPDC']",ENSG00000104884.14
P18615,ENSG00000204356,7936,"['NELFE', 'RD', 'RDBP']",ENSG00000204356.13
P19387,ENSG00000102978,5432,"['POLR2C', 'A-152E5.7']",ENSG00000102978.12
P19388,ENSG00000099817,5434,['POLR2E'],ENSG00000099817.11
P19447,ENSG00000163161,2071,"['ERCC3', 'XPB', 'XPBC']",ENSG00000163161.12
P20226,ENSG00000112592,6908,"['TBP', 'GTF2D1', 'TF2D', 'TFIID']",ENSG00000112592.13
P21675,ENSG00000147133,6872,"['TAF1', 'BA2R', 'CCG1', 'CCGS', 'TAF2A']",ENSG00000147133.15
P24863,ENSG00000112237,892,['CCNC'],ENSG00000112237.12
P28328,ENSG00000164751,5828,"['PEX2', 'PAF1', 'PMP3', 'PMP35', 'PXMP3', 'RNF72']",ENSG00000164751.14
P28370,ENSG00000102038,6594,"['SMARCA1', 'SNF2L', 'SNF2L1']",ENSG00000102038.15
P29083,ENSG00000153767,2960,"['GTF2E1', 'TF2E1']",ENSG00000153767.9
P29084,ENSG00000197265,2961,"['GTF2E2', 'TF2E2']",ENSG00000197265.8
P29374,ENSG00000032219,5926,"['ARID4A', 'RBBP1', 'RBP1']",ENSG00000032219.18
P30876,ENSG00000047315,5431,['POLR2B'],ENSG00000047315.15
P32780,ENSG00000110768,2965,"['GTF2H1', 'BTF2']",ENSG00000110768.11
P35269,ENSG00000125651,2962,"['GTF2F1', 'RAP74']",ENSG00000125651.13
P49336,ENSG00000132964,1024,['CDK8'],ENSG00000132964.11
P49459,ENSG00000077721,7319,"['UBE2A', 'RAD6A']",ENSG00000077721.15
P49848,ENSG00000106290,6878,"['TAF6', 'TAF2E', 'TAFII70']",ENSG00000106290.14
P50613,ENSG00000134058,1022,"['CDK7', 'CAK', 'CAK1', 'CDKN7', 'MO15', 'STK1']",ENSG00000134058.11
P50750,ENSG00000136807,1025,"['CDK9', 'CDC2L4', 'TAK']",ENSG00000136807.13
P51531,ENSG00000080503,6595,"['SMARCA2', 'BAF190B', 'BRM', 'SNF2A', 'SNF2L2']",ENSG00000080503.22
P51532,ENSG00000127616,6597,"['SMARCA4', 'BAF190A', 'BRG1', 'SNF2B', 'SNF2L4']",ENSG00000127616.17
P51825,ENSG00000172493,4299,"['AFF1', 'AF4', 'FEL', 'MLLT2', 'PBM1']",ENSG00000172493.20
P51946,ENSG00000134480,902,['CCNH'],ENSG00000134480.13
P51948,ENSG00000020426,4331,"['MNAT1', 'CAP35', 'MAT1', 'RNF66']",ENSG00000020426.10
P52434,ENSG00000163882,5437,['POLR2H'],ENSG00000163882.9
P52435,ENSG00000005075,5439,"['POLR2J', 'POLR2J1']",ENSG00000005075.15
P52655,ENSG00000165417,2957,"['GTF2A1', 'TF2A1']",ENSG00000165417.11
P52657,ENSG00000140307,2958,"['GTF2A2', 'TF2A2']",ENSG00000140307.10
P53803,ENSG00000147669,5440,['POLR2K'],ENSG00000147669.10
P55197,ENSG00000078403,8028,"['MLLT10', 'AF10']",ENSG00000078403.16
P55199,ENSG00000105656,8178,"['ELL', 'C19orf17']",ENSG00000105656.12
P56270,ENSG00000103495,4150,"['MAZ', 'ZNF801']",ENSG00000103495.13
P60709,ENSG00000075624,60,['ACTB'],ENSG00000075624.13
P61218,ENSG00000100142,5435,"['POLR2F', 'POLRF']",ENSG00000100142.14
P61964,ENSG00000196363,11091,"['WDR5', 'BIG3']",ENSG00000196363.9
P62487,ENSG00000168002,5436,"['POLR2G', 'RPB7']",ENSG00000168002.11
P63272,ENSG00000213246,6827,"['SUPT4H1', 'SPT4H', 'SUPT4H']",ENSG00000213246.6
Q00403,ENSG00000137947,2959,"['GTF2B', 'TF2B', 'TFIIB']",ENSG00000137947.11
Q03111,ENSG00000130382,4298,"['MLLT1', 'ENL', 'LTG19', 'YEATS1']",ENSG00000130382.8
Q03164,ENSG00000118058,4297,"['KMT2A', 'ALL1', 'CXXC7', 'HRX', 'HTRX', 'MLL', 'MLL1', 'TRX1']",ENSG00000118058.20
Q08945,ENSG00000149136,6749,"['SSRP1', 'FACT80']",ENSG00000149136.8
Q09472,ENSG00000100393,2033,"['EP300', 'P300']",ENSG00000100393.12
Q12824,ENSG00000099956,6598,"['SMARCB1', 'BAF47', 'INI1', 'SNF5L1']",ENSG00000099956.18
Q12830,ENSG00000171634,2186,"['BPTF', 'FAC1', 'FALZ']",ENSG00000171634.16
Q12962,ENSG00000166337,6881,"['TAF10', 'TAF2A', 'TAF2H', 'TAFII30']",ENSG00000166337.9
