,Gene A,Gene B,Correlation
1880,ERCC3,EP400,0.9784700311066562
6991,MED17,CDK13,0.9771373296965911
26611,MED23,CDK13,0.9761781364636004
12219,TRIM28,EP300,0.972623377241602
2679,SUPT6H,EP300,0.9724924279990989
22659,ARID2,EP300,0.9713367663445095
17953,KMT2D,KMT2B,0.9710632796791301
10599,CREBBP,EP300,0.9708419605925004
13436,CDK12,CCNT1,0.970487608847549
7087,INTS8,TRIM28,0.9704109620294239
28785,EP300,ARID1A,0.970164954069154
17979,KMT2D,EP300,0.9699998057427095
23373,BRD9,SUPT16H,0.9697313469477765
1929,ERCC3,BRD9,0.9682656829829506
14514,EP400,TRRAP,0.9675669622568461
27345,CDK13,ARID1A,0.9671326362314514
27339,CDK13,EP300,0.9670425802555834
6999,MED17,EP300,0.9669944621230232
14529,EP400,BRD9,0.966850206262748
1854,ERCC3,BPTF,0.9658481614056112
2754,NCOA6,BPTF,0.9657124366690292
7432,SMARCE1,BAF180,0.965645945363923
3573,GTF2H1,SUPT16H,0.964948114105367
10547,CREBBP,MED13L,0.9646583760356461
9476,BAF180,CCNT1,0.9644321418151387
8967,CCNT2,MED23,0.9640000408977432
6987,MED17,MED23,0.9628786847145417
7179,INTS8,EP300,0.9626397135716734
10602,CREBBP,EPC1,0.9623258572461433
11311,SETD1A,CDK13,0.961939119015576
17985,KMT2D,ARID1A,0.9618498771118271
24448,MED14,MED13,0.9617417212338438
11635,SMARCAD1,INTS2,0.9614458253758651
9820,BPTF,KMT2A,0.9613668173308725
11319,SETD1A,EP300,0.9611160504562388
8075,SUPT20H,INTS4,0.9609396762966455
14553,EP400,SUPT16H,0.9608451833800964
13475,CDK12,INTS4,0.9608194929253248
22665,ARID2,ARID1A,0.9590046153383878
13667,ENY2,MED4,0.9589320250934151
9485,BAF180,ARID2,0.958831839666339
25347,CXXC1,MED23,0.9584746350522699
7119,INTS8,KMT2D,0.9584740728759561
2578,SUPT6H,CREBBP,0.9580885548882377
7145,INTS8,ARID2,0.9580076035626072
9497,BAF180,MLLT10,0.9578670895053796
7005,MED17,ARID1A,0.9576926776394006
14551,EP400,CDK13,0.9575435246192103
12185,TRIM28,ARID2,0.9574981921103577
26619,MED23,EP300,0.9572691897745917
13076,CHD1,CCNT1,0.9571870475820266
12159,TRIM28,KMT2D,0.9571266269795501
6965,MED17,ARID2,0.9567263379160114
9800,BPTF,EP400,0.9560507236955414
2363,SF3B3,SSRP1,0.9553141439753059
19419,MED13L,EP300,0.9550146223560444
7153,INTS8,KMT2B,0.9546037826214856
1941,ERCC3,SUPT7L,0.9545835588511543
3548,GTF2H1,MED6,0.9545735624262665
2853,NCOA6,SUPT16H,0.9543712842203499
13034,CHD1,CDK12,0.9543200862732726
10539,CREBBP,KMT2D,0.9542129982658074
26625,MED23,ARID1A,0.953981312042462
2780,NCOA6,EP400,0.9534984020571992
8971,CCNT2,CDK13,0.9532611979766886
20671,TRRAP,CDK13,0.9532294567910756
11307,SETD1A,MED23,0.9528345213395176
4934,SMARCD2,CDK12,0.9527242794044418
24099,KMT2B,EP300,0.952638079246284
9849,BPTF,BRD9,0.9526182311197194
7428,SMARCE1,INTS12,0.9525382551538139
27333,CDK13,SUPT16H,0.9525358531281808
1815,ERCC3,NCOA6,0.952481228998351
7064,INTS8,SUPT20H,0.952442695825727
13115,CHD1,INTS4,0.9523626036032516
6993,MED17,SUPT16H,0.952304181933144
1900,ERCC3,KMT2A,0.9514811793260171
3852,ATXN7,CHD1,0.9513807849271779
17255,MED1,INTS4,0.9512639059618965
7436,SMARCE1,CDC73,0.9511182323829173
18173,KMT2A,SMARCC2,0.9505901185784055
23371,BRD9,CDK13,0.9501385336291591
2829,NCOA6,BRD9,0.9500840925455682
6879,MED17,INTS8,0.9499761055934542
20667,TRRAP,MED23,0.9498064003913339
10573,CREBBP,KMT2B,0.9495889746970829
12178,TRIM28,POLR2B,0.9494692615370772
7078,INTS8,CREBBP,0.9494194965420403
24105,KMT2B,ARID1A,0.9492792477837727
1954,ERCC3,SUPT5H,0.9485774163588602
21399,POLR2B,EP300,0.9485501331506268
8079,SUPT20H,EP300,0.9483921435121777
21005,CCNT1,ARID2,0.9483601091140306
3896,ATXN7,CCNT1,0.9477000210701235
10507,CREBBP,TRIM28,0.9475656944111629
1914,ERCC3,TRRAP,0.9475100154811004
6637,MED12,MED15,0.9474354593005978
3819,ATXN7,INTS8,0.9472122434172755
8154,ARID4B,BPTF,0.9470688817372269
6954,MED17,TRRAP,0.9470336385884963
28065,INTS4,ARID1A,0.9469995640202915
21039,CCNT1,EP300,0.9467907300074291
7185,INTS8,ARID1A,0.9465943619506043
6884,MED17,SUPT20H,0.9465420839223645
13445,CDK12,ARID2,0.9462605965013671
12176,TRIM28,CCNT1,0.9462233825312402
22651,ARID2,CDK13,0.9460578265795178
18331,BAF250B,CDK13,0.9460004464304123
2587,SUPT6H,TRIM28,0.945982634785093
2491,SF3B3,CDK13,0.9457408986163978
22647,ARID2,MED23,0.9455701251205121
1953,ERCC3,SUPT16H,0.9454359343039322
2800,NCOA6,KMT2A,0.9453641275107163
1635,NELFA,NCOA6,0.9453611319128737
9508,BAF180,MED13,0.9453291721051209
28782,EP300,EPC1,0.9453135309383234
6645,MED12,ARID1A,0.9452092326948867
12680,HUWE1,EP400,0.9451402102679748
9873,BPTF,SUPT16H,0.9450810247592214
11240,SETD1A,EP400,0.9450641634817307
21035,CCNT1,INTS4,0.9449385683666045
11851,BAF60A,CDK13,0.9449225480360118
1771,NELFA,CDK13,0.9448602975886624
2582,SUPT6H,SETD1A,0.9447207897244826
11600,SMARCAD1,EP400,0.9446986777276408
2458,SF3B3,POLR2B,0.9446109741537836
2619,SUPT6H,KMT2D,0.9445604541713418
11261,SETD1A,BAF250B,0.9445346804038224
17967,KMT2D,MED23,0.9445330946698607
7136,INTS8,CCNT1,0.9445148028833785
2685,SUPT6H,ARID1A,0.9444061756969958
8696,INTS12,CDC73,0.9443584465363222
6902,MED17,SETD1A,0.9442677234302221
6969,MED17,BRD9,0.9441667542553593
13479,CDK12,EP300,0.9441141715856657
21028,CCNT1,MED13,0.9438232183808639
12225,TRIM28,ARID1A,0.9436201987459324
3854,ATXN7,CDK12,0.9434895234269849
3913,ATXN7,KMT2B,0.943369307879812
7094,INTS8,CDK12,0.9433532884631353
9503,BAF180,AFF4,0.9433032931260826
24803,MLLT10,AFF4,0.943141897287694
1426,WDR82,ASH2L,0.9429601488337714
7473,SMARCE1,BCL7C,0.9429210115718164
3313,KAT5,BAF45D,0.9428554739312757
11982,MED7,SMARCA5,0.9428415411646469
9519,BAF180,EP300,0.942767061997942
10605,CREBBP,ARID1A,0.9424092016777956
8165,ARID4B,BAF60A,0.9420724797436063
17945,KMT2D,ARID2,0.9419144991404129
13485,CDK12,ARID1A,0.9416503059399626
14500,EP400,KMT2A,0.9416476641532636
2636,SUPT6H,CCNT1,0.9413908706561467
6561,MED12,INTS9,0.9411611813700123
1630,NELFA,ERCC3,0.9411023943482503
12193,TRIM28,KMT2B,0.941064953503442
13093,CHD1,KMT2B,0.940847963717788
25888,AFF4,MED13,0.9406401532799316
9893,BPTF,SMARCC2,0.9405847621725447
2564,SUPT6H,SUPT20H,0.9402125869031229
12047,MED7,MED4,0.940160256582416
2873,NCOA6,SMARCC2,0.9401538480283562
1129,INTS10,CCNT2,0.9400749356426805
14501,EP400,BAF250B,0.9399534436631939
8264,ARID4B,ARID4A,0.9399355813795123
7002,MED17,EPC1,0.9399131358414783
6941,MED17,BAF250B,0.9398727800481816
13119,CHD1,EP300,0.9397163641425528
11259,SETD1A,KMT2D,0.9396280057007047
1973,ERCC3,SMARCC2,0.9391990400633133
19385,MED13L,ARID2,0.9389741885159054
3905,ATXN7,ARID2,0.9388372634571481
11274,SETD1A,TRRAP,0.938830147693645
22284,MED26,KAT6A,0.9387770124948553
18339,BAF250B,EP300,0.9386915910957442
12136,TRIM28,INTS5,0.9384927499312864
9434,BAF180,CDK12,0.9382726850054184
22637,ARID2,MLLT10,0.9382141714883274
22655,ARID2,INTS4,0.9380848844761137
2559,SUPT6H,INTS8,0.9380167543187284
10565,CREBBP,ARID2,0.9380060160636472
20673,TRRAP,SUPT16H,0.9379799680395869
12687,HUWE1,KAT6B,0.9378893774649815
14541,EP400,SUPT7L,0.9378769299372337
4932,SMARCD2,CHD1,0.9377783023291268
16331,CCNK,TAF12,0.9377331696182493
8692,INTS12,BAF180,0.9377298997025969
4258,SSRP1,POLR2B,0.9376885896002255
11325,SETD1A,ARID1A,0.9376793845793204
20649,TRRAP,BRD9,0.9374919736522963
17409,MED28,BRD9,0.9374725184162757
1951,ERCC3,CDK13,0.9373445628005999
8882,CCNT2,SETD1A,0.9372442655401736
23193,MED6,SUPT16H,0.9369895568644544
2499,SF3B3,EP300,0.9366171631606836
2558,SUPT6H,MED17,0.9366089467618856
1700,NELFA,EP400,0.9366052734491966
8711,INTS12,TAF5L,0.936552222505932
21045,CCNT1,ARID1A,0.9364173186921789
18153,KMT2A,SUPT16H,0.936277117099574
26615,MED23,INTS4,0.9362338743713489
8200,ARID4B,KMT2A,0.936121534981454
2671,SUPT6H,CDK13,0.9361068457704954
2549,SUPT6H,POLR2C,0.9359673418919329
28059,INTS4,EP300,0.9358453642600204
17971,KMT2D,CDK13,0.9358205906190102
6920,MED17,EP400,0.9358010993274797
11847,BAF60A,MED23,0.9355875008893586
8045,SUPT20H,ARID2,0.9355448308047527
6635,MED12,INTS4,0.9354823719720994
12207,TRIM28,MED23,0.9352590187354051
2653,SUPT6H,KMT2B,0.9352136594971592
6907,MED17,TRIM28,0.9352129602220077
9154,INO80B,SUPT5H,0.9351708651803273
4207,SSRP1,TRIM28,0.9351652920779413
1767,NELFA,MED23,0.9351454919866472
11297,SETD1A,MLLT10,0.9350562740083228
2357,SF3B3,CTR9,0.934834042680468
19422,MED13L,EPC1,0.9347762665022833
13085,CHD1,ARID2,0.934751573107963
1685,NELFA,BAF60A,0.9346235911718913
2643,SUPT6H,MED26,0.9345869909852729
22299,MED26,EP300,0.9345740314096963
2468,SF3B3,MED6,0.9344894343596163
7451,SMARCE1,TAF5L,0.9343617334376938
2851,NCOA6,CDK13,0.9343467229296447
18287,BAF250B,MED13L,0.9342969801065906
11227,SETD1A,TRIM28,0.9341442604817888
7092,INTS8,CHD1,0.9341125604200072
4299,SSRP1,EP300,0.9340465623811707
8715,INTS12,ENY2,0.9340126375084526
6939,MED17,KMT2D,0.9339482747677221
23207,MED6,MED4,0.9339436338260872
9427,BAF180,TRIM28,0.933924651021548
13055,CHD1,MED1,0.9339231892868366
18305,BAF250B,ARID2,0.9339214348466757
14487,EP400,KAT6B,0.9339009893215752
6889,MED17,CCNT2,0.9337390290644192
13083,CHD1,MED26,0.9337314851569238
12522,SUPT3H,SMARCA5,0.9337310464102262
2378,SF3B3,MED17,0.9337264203848684
17943,KMT2D,MED26,0.9337160605056525
12134,TRIM28,CDK12,0.9335928225540999
26799,MED13,EP300,0.9333445598839563
21003,CCNT1,MED26,0.9332793068243955
17938,KMT2D,POLR2B,0.9332358090073913
9835,BPTF,INTS2,0.933202576443671
2682,SUPT6H,EPC1,0.9329294275260543
22648,ARID2,MED13,0.9329257471081899
6898,MED17,CREBBP,0.9329232714516502
18342,BAF250B,EPC1,0.9329134205659997
6596,MED12,CCNT1,0.9328896682213077
6995,MED17,INTS4,0.9328223742539452
18317,BAF250B,MLLT10,0.9327995041880507
13104,CHD1,KAT6A,0.9327963917545151
6613,MED12,KMT2B,0.9327961010155332
6892,MED17,BAF180,0.9327893269003315
10502,CREBBP,SETD1A,0.9324856412872649
13410,CDK12,CCNK,0.9322753731281478
25187,GTF2A2,MED4,0.9321869291828342
7987,SUPT20H,TRIM28,0.9321839031810663
17756,NCOA3,CCNT1,0.9321669822750317
6905,MED17,BAF60A,0.9321589187523395
8019,SUPT20H,KMT2D,0.9320851372493885
414,SMARCB1,BPTF,0.9320275831530049
2616,SUPT6H,MED28,0.9319971528216596
1674,NELFA,BPTF,0.9319158297942474
14547,EP400,MED23,0.9318788147529389
1670,NELFA,INO80B,0.9318748439555605
4291,SSRP1,CDK13,0.9318490283559987
12917,TAF5L,MLLT10,0.9317787918672837
22662,ARID2,EPC1,0.931466131846095
15271,POLR2H,CDK13,0.9314188393209142
20661,TRRAP,SUPT7L,0.9314149518975123
19408,MED13L,MED13,0.931202656041961
8043,SUPT20H,MED26,0.9311701517940565
2677,SUPT6H,MED15,0.9311686377716518
11322,SETD1A,EPC1,0.9311305895654337
13059,CHD1,KMT2D,0.9310816078528763
3500,GTF2H1,EP400,0.9310547755314454
22633,ARID2,KMT2B,0.9309729288268036
8251,ARID4B,CDK13,0.9309125272509726
2645,SUPT6H,ARID2,0.9308524711227977
8960,CCNT2,CXXC1,0.9308098957316463
8149,ARID4B,CCNT2,0.9307969064085563
27342,CDK13,EPC1,0.9307946643811486
7175,INTS8,INTS4,0.9307789910781492
19556,ELOA,CCNT1,0.9306243521874006
11955,MED7,ENY2,0.9305953047281066
1862,ERCC3,SETD1A,0.9305804493604035
7994,SUPT20H,CDK12,0.9305778027100493
23169,MED6,BRD9,0.9305382482153997
12008,MED7,MED6,0.930535696411361
8347,SETD1B,TRIM28,0.930426034228552
17936,KMT2D,CCNT1,0.9302973428444877
2556,SUPT6H,MED12,0.9302429288090176
3680,WDR5,EP400,0.9301920566427063
12167,TRIM28,MED13L,0.9301920538929184
12855,TAF5L,ENY2,0.9301350434192907
3879,ATXN7,KMT2D,0.9300720240941158
18129,KMT2A,BRD9,0.9300511870844611
26613,MED23,SUPT16H,0.9300464206320038
489,SMARCB1,BRD9,0.9300206382757454
11672,SMARCAD1,NELFCD,0.9300174266593857
10512,CREBBP,CHD1,0.9299352734448372
18315,BAF250B,MED14,0.9299219731547419
8807,INTS12,MED4,0.9298935600424602
4927,SMARCD2,TRIM28,0.9296688622785749
3336,KAT5,MED28,0.9296588568386668
18658,MED20,POLR2B,0.9296112508844158
3287,KAT5,MED22,0.9295838663299023
13796,INTS5,CCNT1,0.9294772176900091
11285,SETD1A,ARID2,0.9294385632586756
3571,GTF2H1,CDK13,0.9293944815508838
6977,MED17,MLLT10,0.9293282002422
6947,MED17,MED13L,0.9291263560147297
8247,ARID4B,MED23,0.9289572343315473
12211,TRIM28,CDK13,0.9289545158673898
15761,KAT6B,BAF250B,0.9288986842846103
7547,SMARCE1,MED4,0.9288821609414004
2738,NCOA6,MED17,0.9288024118874728
23191,MED6,CDK13,0.9287839223622839
6552,MED12,CHD1,0.9287399680659436
11865,BAF60A,ARID1A,0.9287109757442469
8053,SUPT20H,KMT2B,0.9285426091053797
5015,SMARCD2,INTS4,0.9284421503979369
3563,GTF2H1,AFF4,0.9283791540319521
24827,MLLT10,MED4,0.9282012970405075
13443,CDK12,MED26,0.928167761641265
7466,SMARCE1,MED30,0.9281457141966339
24459,MED14,EP300,0.92813099146936
8196,ARID4B,MED28,0.9281245753661392
13396,CDK12,INTS5,0.9280959537838942
20672,TRRAP,NELFCD,0.9280442782157402
4985,SMARCD2,ARID2,0.9280314065779247
18345,BAF250B,ARID1A,0.9280076469732307
9431,BAF180,TAF5L,0.9279438688088243
4899,SMARCD2,INTS8,0.9278282301694719
6639,MED12,EP300,0.9276850686050637
3549,GTF2H1,BRD9,0.9276805323057659
2801,NCOA6,BAF250B,0.9276696103445123
8085,SUPT20H,ARID1A,0.9276260035364583
22295,MED26,INTS4,0.9276251655745017
11293,SETD1A,KMT2B,0.9275958322991632
29325,EPC1,ARID1A,0.927472998979321
14554,EP400,SUPT5H,0.9274637773320683
7992,SUPT20H,CHD1,0.9273412179440692
1410,WDR82,VPS72,0.9273003799052336
3807,ATXN7,SMARCD2,0.9272537395250958
24080,KMT2B,CXXC1,0.9272372309860927
4993,SMARCD2,KMT2B,0.9272081227946011
13415,CDK12,MED1,0.9269881077265518
962,INTS1,SETD1A,0.9269276126091524
17431,MED28,CDK13,0.9268842668679067
11661,SMARCAD1,SUPT7L,0.9268121196093867
3664,WDR5,SMARCAD1,0.9267278533333724
27335,CDK13,INTS4,0.926722455395693
9463,BAF180,MED20,0.9267021758665215
