,Ensembl
0,ENSG00000137203
1,ENSG00000008196
2,ENSG00000087510
3,ENSG00000151379
4,ENSG00000136997
5,ENSG00000159263
6,ENSG00000090447
7,ENSG00000175592
8,ENSG00000108924
9,ENSG00000119866
10,ENSG00000127152
11,ENSG00000113916
12,ENSG00000102554
13,ENSG00000204366
14,ENSG00000181472
15,ENSG00000184828
16,ENSG00000170684
17,ENSG00000165244
18,ENSG00000125945
19,ENSG00000165655
20,ENSG00000105732
21,ENSG00000274349
22,ENSG00000186230
23,ENSG00000141579
24,ENSG00000228623
25,ENSG00000197114
26,ENSG00000176399
27,ENSG00000142700
28,ENSG00000157557
29,ENSG00000175832
30,ENSG00000129514
31,ENSG00000178919
32,ENSG00000186766
33,ENSG00000109101
34,ENSG00000164379
35,ENSG00000158055
36,ENSG00000129194
37,ENSG00000181449
38,ENSG00000125285
39,ENSG00000171056
40,ENSG00000125398
41,ENSG00000105991
42,ENSG00000105996
43,ENSG00000105997
44,ENSG00000197576
45,ENSG00000106004
46,ENSG00000198353
47,ENSG00000172789
48,ENSG00000113430
49,ENSG00000136327
50,ENSG00000069011
51,ENSG00000177426
52,ENSG00000117595
53,ENSG00000172819
54,ENSG00000243678
55,ENSG00000073282
56,ENSG00000078900
57,ENSG00000198807
58,ENSG00000137203
59,ENSG00000087510
60,ENSG00000116017
61,ENSG00000137309
62,ENSG00000116990
63,ENSG00000050344
64,ENSG00000169635
65,ENSG00000198300
66,ENSG00000189120
67,ENSG00000066827
68,ENSG00000179059
69,ENSG00000171295
70,ENSG00000265763
71,ENSG00000197472
72,ENSG00000197054
73,ENSG00000197933
74,ENSG00000257446
75,ENSG00000213988
76,ENSG00000130182
77,ENSG00000180346
78,ENSG00000187772
79,ENSG00000130816
80,ENSG00000205250
81,ENSG00000010030
82,ENSG00000214336
83,ENSG00000184481
84,ENSG00000107485
85,ENSG00000134317
86,ENSG00000118418
87,ENSG00000168875
88,ENSG00000064195
89,ENSG00000105880
90,ENSG00000006377
91,ENSG00000204595
92,ENSG00000016082
93,ENSG00000120149
94,ENSG00000132170
95,ENSG00000115163
96,ENSG00000007866
97,ENSG00000197905
98,ENSG00000137203
99,ENSG00000087510
100,ENSG00000116017
101,ENSG00000137309
102,ENSG00000183734
103,ENSG00000116016
104,ENSG00000164683
105,ENSG00000134323
106,ENSG00000123685
107,ENSG00000169635
108,ENSG00000164920
109,ENSG00000124216
110,ENSG00000179059
111,ENSG00000204644
112,ENSG00000256229
113,ENSG00000197472
114,ENSG00000196417
115,ENSG00000198346
116,ENSG00000213988
117,ENSG00000187772
118,ENSG00000138336
119,ENSG00000102034
120,ENSG00000175832
121,ENSG00000111206
122,ENSG00000179348
123,ENSG00000107485
124,ENSG00000137270
125,ENSG00000134317
126,ENSG00000064961
127,ENSG00000118418
128,ENSG00000148737
129,ENSG00000064195
130,ENSG00000108813
131,ENSG00000105880
132,ENSG00000006377
133,ENSG00000164438
134,ENSG00000148200
135,ENSG00000132170
136,ENSG00000115163
137,ENSG00000169689
138,ENSG00000007866
139,ENSG00000137203
140,ENSG00000008196
141,ENSG00000187098
142,ENSG00000178860
143,ENSG00000181690
144,ENSG00000019549
145,ENSG00000147117
146,ENSG00000169548
147,ENSG00000197935
148,ENSG00000183647
149,ENSG00000186230
150,ENSG00000175832
151,ENSG00000168269
152,ENSG00000064961
153,ENSG00000138795
154,ENSG00000182968
155,ENSG00000100146
156,ENSG00000180318
157,ENSG00000186103
158,ENSG00000165606
159,ENSG00000170370
160,ENSG00000163064
161,ENSG00000123407
162,ENSG00000123364
163,ENSG00000197757
164,ENSG00000037965
165,ENSG00000180806
166,ENSG00000135903
167,ENSG00000143171
168,ENSG00000106624
169,ENSG00000101096
170,ENSG00000160224
171,ENSG00000137203
172,ENSG00000087510
173,ENSG00000126705
