,Gene,Distance from MED12L,MED12L Corr,Ensembl
190,FOS,18226.424019538226,-0.2751554887308227,ENSG00000170345
395,JUN,13137.728862706823,-0.26984031124398455,ENSG00000177606
396,JUNB,12218.255659872239,-0.2405207189124522,ENSG00000171223
921,YBX1,11975.938263451426,-0.17439727973566374,ENSG00000065978
536,NFKBIA,10645.744174081961,-0.18846074917685096,ENSG00000100906
397,JUND,7846.26869664811,-0.2119511807208746,ENSG00000130522
420,KLF6,6858.393373815767,-0.2811011339682732,ENSG00000067082
191,FOSB,6077.493954748124,-0.25287553490332304,ENSG00000125740
72,CEBPD,5823.157086151807,-0.2012850660855584,ENSG00000221869
923,YBX3,5382.1557474677375,-0.15199865121924394,ENSG00000060138
151,ELF3,5212.024861797957,-0.15467551849110325,ENSG00000163435
144,EGR1,4757.45606705937,-0.22145965352548508,ENSG00000120738
317,HOPX,4236.922496340947,-0.04891270358593987,ENSG00000171476
897,TSC22D3,4204.08721722088,-0.13799041585279437,ENSG00000157514
29,ATF3,4128.666713359168,-0.22668813864164672,ENSG00000162772
568,NPAS3,3858.849110810112,0.7934519557878907,ENSG00000151322
365,ID2,3851.834466848231,-0.11015383850319486,ENSG00000115738
364,ID1,3844.6446844929637,-0.17607899594296833,ENSG00000125968
920,XBP1,3834.883339816219,-0.1633011155307444,ENSG00000100219
803,ST18,3802.166890077288,-0.010412020957856892,ENSG00000147488
366,ID3,3556.2807200782113,-0.1771312565472289,ENSG00000117318
595,NRL,3551.4499644511397,-0.02531498697290623,ENSG00000129535
88,CREM,3405.755189381644,-0.05145885417048035,ENSG00000095794
940,ZBTB20,3251.5083438305987,0.6114699729418639,ENSG00000181722
71,CEBPB,3203.8377783527058,-0.142902968365024,ENSG00000172216
895,TSC22D1,3193.2168811403967,-0.05444930923822077,ENSG00000102804
281,HES1,3085.0103808577373,-0.16349573824435343,ENSG00000114315
775,SOX4,2952.4849195211823,-0.21191411862029877,ENSG00000124766
588,NR4A1,2833.912062855868,-0.2457682916560082,ENSG00000123358
1661,LTF,2645.470714258617,-0.06840491495599409,ENSG00000012223
1646,HMGN3,2627.7010731816517,-0.11793697707283522,ENSG00000118418
1617,SON,2570.236765358398,-0.3235801980703801,ENSG00000159140
418,KLF4,2515.682255373281,-0.20588801563510595,ENSG00000136826
416,KLF2,2492.3647525994265,-0.15845960242372503,ENSG00000127528
713,RORA,2478.5613226224605,0.880336198593882,ENSG00000069667
541,NFKBIZ,2406.9892396934392,-0.14963419351029308,ENSG00000144802
972,ZEB2,2403.0165063935788,0.12293585999638366,ENSG00000169554
527,NFE2L2,2233.2957753060837,-0.205815296762708,ENSG00000116044
441,LRRFIP1,2209.6832555821206,-0.11528000212523455,ENSG00000124831
