Gene,Distance from MED12L,Distance from MED12,Ensembl
ADNP,486.17485537612896,326.5593973536821,ENSG00000101126
ADNP2,507.01242588323214,105.31234495537548,ENSG00000101544
AEBP2,500.5316873086058,200.0762854513248,ENSG00000139154
AHR,745.7291867695673,508.0626437753517,ENSG00000106546
AIRE,529.2835534947217,79.25395889165412,ENSG00000160224
ALX1,531.7852198021303,85.57914465569284,ENSG00000180318
ALX3,530.0649677162224,78.59185708456062,ENSG00000156150
ALX4,529.3278473687171,78.70133416912321,ENSG00000052850
AR,777.082376585649,582.8768737906832,ENSG00000169083
ARGFX,529.1058589734195,78.56551406310533,ENSG00000186103
ARID1A,599.9810663679312,432.052971289401,ENSG00000117713
ARID1B,1045.9940630806657,1208.2495478997703,ENSG00000049618
ARID2,660.3922016498984,586.737922755978,ENSG00000189079
ARID3A,940.9793090180037,775.9838851419531,ENSG00000116017
ARID3B,526.2252274454352,119.56077952238353,ENSG00000179361
ARID3C,530.2674419573578,80.27758093017005,ENSG00000205143
ARID4A,544.5841532766079,377.6714312732696,ENSG00000032219
ARID4B,1137.239592170445,1100.362976476399,ENSG00000054267
ARID5A,646.1930671246791,342.40211739999506,ENSG00000196843
ARID5B,1774.9669349032954,1719.7567880371923,ENSG00000150347
ARNT,482.92246789728057,130.68381690171128,ENSG00000143437
ARNT2,295.19027761767495,481.7289383045199,ENSG00000172379
ARX,539.6334867296507,177.10615460790737,ENSG00000004848
ASCL1,502.38206576270227,86.18056625481178,ENSG00000139352
ASCL2,1345.538713675679,1229.5246154510287,ENSG00000183734
ASCL3,551.956873315298,162.52224463131193,ENSG00000176009
ASCL4,530.3483854976838,79.61457153059357,ENSG00000187855
ATF1,539.7606506591601,188.72061360646325,ENSG00000123268
ATF2,492.4987208105216,286.5745976181421,ENSG00000115966
ATF3,4128.666713359168,4050.167376788273,ENSG00000162772
ATF4,1626.5237809512655,1496.593825992878,ENSG00000128272
ATF5,1477.265023616277,1373.3874762789997,ENSG00000169136
ATF6,561.2129987803204,355.10933527577106,ENSG00000118217
ATF6B,616.0037499885857,349.2177114637802,ENSG00000213676
ATF7,494.69718010112007,222.58789275250348,ENSG00000170653
ATOH1,606.7778423772573,296.13236905140917,ENSG00000172238
ATOH7,529.1031468437889,79.38167294785366,ENSG00000179774
ATOH8,539.0529565821896,143.5078395071154,ENSG00000168874
ATRX,1211.2431754193706,1200.2578722924502,ENSG00000085224
BACH1,785.4543716855869,594.1506374649446,ENSG00000156273
BACH2,465.52728169249116,425.3221367387313,ENSG00000112182
BARHL1,530.3291336519236,80.19800496271714,ENSG00000125492
BARHL2,529.8345496473402,79.11156679019827,ENSG00000143032
BARX1,530.2987365627039,78.90602004916988,ENSG00000131668
BARX2,611.010049017199,293.49642246541947,ENSG00000043039
BATF,756.2713996972251,526.3271036152329,ENSG00000156127
BATF2,529.872730002215,70.83981931089323,ENSG00000168062
BATF3,538.0398219462941,107.75667032717742,ENSG00000123685
BBX,1649.5278566911204,1621.1766035814849,ENSG00000114439
BCL11A,775.5564067171389,664.0837823648459,ENSG00000119866
BCL11B,599.4792740370597,370.3829504715356,ENSG00000127152
BCL3,727.9614618920427,457.65095870106074,ENSG00000069399
BCL6,607.4703696477713,368.8054771827555,ENSG00000113916
BCL6B,532.9433365752874,83.96457586387248,ENSG00000161940
BHLHA15,534.9502593699717,94.43214495075287,ENSG00000180535
BHLHA9,530.3342248054522,80.17892491172479,ENSG00000205899
BHLHE22,531.8088754430485,102.68763314051017,ENSG00000180828
BHLHE23,530.3475275703657,80.28343540232942,ENSG00000125533
BHLHE40,1372.1895787390313,1246.363089151793,ENSG00000134107
BHLHE41,747.9397636173653,577.8460348570369,ENSG00000123095
BMAL1,456.72637322580783,122.63315212453767,ENSG00000133794
BMAL2,486.3107956852285,104.22053540449693,ENSG00000029153
BNC1,552.7395679703053,170.56013602245983,ENSG00000169594
BNC2,553.0297279532087,267.90466587948777,ENSG00000173068
BSX,530.3524205657969,80.32010956167827,ENSG00000188909
CASZ1,802.0757009160669,589.1125529132781,ENSG00000130940
CDC5L,755.8466908044251,546.8154990488108,ENSG00000096401
CDX1,840.1291864945532,638.0913727672549,ENSG00000113722
CDX2,755.5925952522297,524.978513846043,ENSG00000165556
CDX4,530.3327068925694,79.9535490144121,ENSG00000131264
CEBPA,612.0547279451405,296.50838099453443,ENSG00000245848
CEBPB,3203.8377783527058,3130.8964722583846,ENSG00000172216
CEBPD,5823.157086151807,5758.262656392117,ENSG00000221869
CEBPE,530.3517889099649,79.06623805392539,ENSG00000092067
CEBPG,642.944344403153,348.3611057509147,ENSG00000153879
CIC,527.2632075159426,90.17261225006185,ENSG00000079432
CLOCK,476.3096366860532,286.2938001424411,ENSG00000134852
CNOT4,562.066472937143,439.1790181691288,ENSG00000080802
CRAMP1,496.3305451007425,63.35771460524755,ENSG00000007545
CREB1,665.1752400683596,508.62189296175586,ENSG00000118260
CREB3,749.5134154903433,521.985354200671,ENSG00000107175
CREB3L1,647.4901852537998,360.70640415717594,ENSG00000157613
CREB3L2,671.710443569251,434.44964034971883,ENSG00000182158
CREB3L3,655.7091352116423,387.27620634374114,ENSG00000060566
