,Gene,Ensembl,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nTPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nTPM,TAU score - Tissue,TAU score - Blood,TAU score - Brain,TAU score - Single Cell Type,TAU score - Single nuclei brain
0,TFAP2A,ENSG00000137203,Tissue enhanced,Detected in many,,"{'breast': '31.9', 'skin 1': '64.9'}",Cell type enhanced,Detected in many,,"{'Basal squamous epithelial cells': '158.0', 'Cytotrophoblasts': '285.2', 'Extravillous trophoblasts': '283.7', 'Melanocytes': '163.2', 'Squamous epithelial cells': '139.1', 'Syncytiotrophoblasts': '700.8'}",Cell type enriched,Detected in some,6,{'cerebellar inhibitory': '69.0'},0.70,Not detected,0.55,0.76,0.91
0,TFAP2B,ENSG00000008196,Tissue enhanced,Detected in some,,"{'epididymis': '32.5', 'retina': '14.3'}",Group enriched,Detected in many,4,"{'Basal squamous epithelial cells': '92.0', 'Horizontal cells': '331.7', 'Melanocytes': '180.4'}",Cell type enriched,Detected in some,21,{'cerebellar inhibitory': '230.9'},0.85,Not detected,0.72,0.85,0.95
0,TFAP2C,ENSG00000087510,Tissue enhanced,Detected in many,,"{'esophagus': '28.3', 'skin 1': '51.9'}",Cell type enhanced,Detected in many,,"{'Basal keratinocytes': '95.0', 'Basal squamous epithelial cells': '105.0', 'Breast glandular cells': '57.3', 'Breast myoepithelial cells': '63.3', 'Cytotrophoblasts': '88.7', 'Extravillous trophoblasts': '58.6', 'Squamous epithelial cells': '70.5', 'Suprabasal keratinocytes': '92.4', 'Syncytiotrophoblasts': '107.6'}",Group enriched,Detected in some,4,"{'astrocyte': '3.4', 'endothelial cell': '6.0', 'fibroblast': '12.7'}",0.67,Not detected,0.42,0.70,0.93
0,TFAP2D,ENSG00000008197,Not detected,Not detected,,,Cell type enhanced,Detected in some,,"{'Horizontal cells': '2.5', 'Oocytes': '1.5'}",Cell type enhanced,Detected in some,,"{'amygdala excitatory': '15.1', 'deep-layer intratelencephalic': '5.8', 'splatter': '5.0'}",Not detected,Not detected,0.87,0.97,0.85
0,TFAP2E,ENSG00000116819,Tissue enriched,Detected in many,7,{'brain': '36.1'},Cell type enhanced,Detected in some,,"{'Bipolar cells': '8.2', 'Excitatory neurons': '8.7', 'Horizontal cells': '6.3', 'Inhibitory neurons': '9.4', 'Oligodendrocytes': '10.5', 'Rod photoreceptor cells': '5.6', 'Schwann cells': '8.4'}",Low cell type specificity,Detected in all,,,0.80,Not detected,0.32,0.79,0.25
0,ARID3A,ENSG00000116017,Tissue enhanced,Detected in many,,"{'placenta': '22.6', 'testis': '16.6'}",Cell type enhanced,Detected in many,,"{'Cytotrophoblasts': '192.5', 'dendritic cells': '143.9', 'Extravillous trophoblasts': '527.8', 'Langerhans cells': '214.2', 'Syncytiotrophoblasts': '496.6'}",Cell type enhanced,Detected in all,,{'central nervous system macrophage': '133.7'},0.61,0.71,0.19,0.63,0.45
0,ARID3B,ENSG00000179361,Tissue enhanced,Detected in all,,{'bone marrow': '24.3'},Cell type enhanced,Detected in many,,"{'Cone photoreceptor cells': '42.5', 'Early spermatids': '44.3', 'Late spermatids': '62.1', 'Rod photoreceptor cells': '47.3', 'Syncytiotrophoblasts': '64.1'}",Low cell type specificity,Detected in all,,,0.50,0.49,0.21,0.54,0.30
0,ARID3C,ENSG00000205143,Tissue enriched,Detected in single,17,{'liver': '10.4'},Not detected,Not detected,,,Not detected,Not detected,,,0.96,Not detected,0.44,Not detected,Not detected
0,ARID5A,ENSG00000196843,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'dendritic cells': '133.3', 'Langerhans cells': '138.7', 'NK-cells': '145.1'}",Group enriched,Detected in many,6,"{'central nervous system macrophage': '43.9', 'endothelial cell': '94.1', 'leukocyte': '43.1', 'pericyte': '40.6', 'vascular associated smooth muscle cell': '93.6'}",0.36,0.27,0.20,0.46,0.68
0,ARID5B,ENSG00000150347,Tissue enhanced,Detected in all,,{'skeletal muscle': '84.1'},Cell type enhanced,Detected in many,,"{'Basal keratinocytes': '648.2', 'Syncytiotrophoblasts': '934.5'}",Low cell type specificity,Detected in all,,,0.37,0.46,0.13,0.39,0.25
