From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Motif	Protein families	Compositional bias	Sequence similarities	Bgee	ExpressionAtlas
ENSG00000137203	P05549	reviewed	AP2A_HUMAN	Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2)	TFAP2A AP2TF TFAP2	Homo sapiens (Human)	437		MOTIF 57..62; /note="PPxY motif"	AP-2 family	COMPBIAS 23..48; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 49..67; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 68..107; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the AP-2 family. {ECO:0000305}.	"ENSG00000137203; Expressed in upper leg skin and 158 other cell types or tissues.";	"P05549; baseline and differential.";
ENSG00000137203	A0A6E1XE14	unreviewed	A0A6E1XE14_HUMAN	Transcription factor AP-2-alpha (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2)	TFAP2A hCG_37170	Homo sapiens (Human)	439			AP-2 family	COMPBIAS 25..50; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 51..69; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 70..109; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the AP-2 family. {ECO:0000256|ARBA:ARBA00007770}.	"ENSG00000137203; Expressed in upper leg skin and 158 other cell types or tissues.";	
ENSG00000137203	C1K3N0	unreviewed	C1K3N0_HUMAN	Transcription factor AP-2-alpha (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2)	TFAP2A	Homo sapiens (Human)	328			AP-2 family	COMPBIAS 23..48; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 49..67; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 68..107; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the AP-2 family. {ECO:0000256|ARBA:ARBA00007770}.	"ENSG00000137203; Expressed in upper leg skin and 158 other cell types or tissues.";	
ENSG00000137203	C9J6N8	unreviewed	C9J6N8_HUMAN	Transcription factor AP-2 alpha	TFAP2A	Homo sapiens (Human)	173				COMPBIAS 7..22; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 32..47; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 68..93; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 94..112; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 113..153; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000137203; Expressed in upper leg skin and 158 other cell types or tissues.";	"C9J6N8; baseline and differential.";
ENSG00000137203	C9JXZ2	unreviewed	C9JXZ2_HUMAN	Transcription factor AP-2 alpha	TFAP2A	Homo sapiens (Human)	136			AP-2 family		SIMILARITY: Belongs to the AP-2 family. {ECO:0000256|ARBA:ARBA00007770}.	"ENSG00000137203; Expressed in upper leg skin and 158 other cell types or tissues.";	"C9JXZ2; baseline and differential.";
ENSG00000137203	F8WDC8	unreviewed	F8WDC8_HUMAN	Transcription factor AP-2 alpha	TFAP2A	Homo sapiens (Human)	113						"ENSG00000137203; Expressed in upper leg skin and 158 other cell types or tissues.";	"F8WDC8; baseline and differential.";
ENSG00000137203	F8WEX2	unreviewed	F8WEX2_HUMAN	Transcription factor AP-2 alpha	TFAP2A	Homo sapiens (Human)	121				COMPBIAS 7..24; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000137203; Expressed in upper leg skin and 158 other cell types or tissues.";	"F8WEX2; baseline and differential.";
ENSG00000137203	H7C4N4	unreviewed	H7C4N4_HUMAN	Transcription factor AP-2 alpha	TFAP2A	Homo sapiens (Human)	81			AP-2 family		SIMILARITY: Belongs to the AP-2 family. {ECO:0000256|ARBA:ARBA00007770}.	"ENSG00000137203; Expressed in upper leg skin and 158 other cell types or tissues.";	"H7C4N4; baseline and differential.";
ENSG00000137203	H7C5E5	unreviewed	H7C5E5_HUMAN	Transcription factor AP-2 alpha	TFAP2A	Homo sapiens (Human)	218			AP-2 family		SIMILARITY: Belongs to the AP-2 family. {ECO:0000256|ARBA:ARBA00007770}.	"ENSG00000137203; Expressed in upper leg skin and 158 other cell types or tissues.";	"H7C5E5; baseline and differential.";
ENSG00000008196	Q92481	reviewed	AP2B_HUMAN	Transcription factor AP-2-beta (AP2-beta) (Activating enhancer-binding protein 2-beta)	TFAP2B	Homo sapiens (Human)	460			AP-2 family	COMPBIAS 36..60; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 61..79; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 80..117; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the AP-2 family. {ECO:0000305}.	"ENSG00000008196; Expressed in corpus epididymis and 90 other cell types or tissues.";	"Q92481; baseline and differential.";
