Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ADNP	"ADNP1, KIAA0784"	ENSG00000101126	"Activity dependent neuroprotector homeobox"	Q9H2P0	20	50888916-50931437	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	"Autism spectrum disorder, Cancer-related genes, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA006371	Supported		Approved	Nucleoplasm			NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 16: Non-specific - Transcription"	"Cluster 31: Non-specific - Transcription"	"Cluster 62: Non-specific - Plasma proteins"	"Cluster 55: Non-specific - Transcription"	37	Nucleoplasm		"HPA006371: AB_1078105"	"unprognostic (4.49e-2)"	"unprognostic (2.89e-3)"	"unprognostic (1.67e-1)"	"unprognostic (1.14e-1)"	"unprognostic (1.38e-1)"	"unprognostic (5.98e-2)"	"unprognostic (2.25e-1)"	"unprognostic (1.39e-1)"	"unprognostic (5.07e-2)"	"unprognostic (4.51e-3)"	"unprognostic (4.73e-3)"	"unprognostic (2.60e-2)"	"unprognostic (4.07e-1)"	"unprognostic (3.88e-5)"	"unprognostic (3.91e-2)"	"unprognostic (3.34e-1)"	"unprognostic (5.41e-2)"	"unprognostic (1.41e-1)"	"unprognostic (1.66e-2)"	"unprognostic (2.19e-2)"	"unprognostic (9.83e-2)"	"unprognostic (3.97e-2)"	"unprognostic (9.04e-2)"	"unprognostic (3.70e-2)"	"unprognostic (5.60e-3)"	"unprognostic (3.61e-3)"	"unprognostic (8.44e-2)"	"unprognostic (2.68e-1)"	"unprognostic (4.88e-1)"	"unprognostic (9.76e-3)"	"unprognostic (2.11e-1)"
ADNP2	"KIAA0863, ZNF508"	ENSG00000101544	"ADNP homeobox 2"	Q6IQ32	18	80109262-80147523	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 40.8"	"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA007126	Uncertain		Approved	Mitochondria,Cytosol			NA	NA			"Cluster 30: Non-specific - DNA binding"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 29: Monocytes - Innate immune response"	12	"Mitochondria, Cytosol"		"HPA007126: AB_1080729"	"unprognostic (6.79e-2)"	"unprognostic (4.64e-2)"	"unprognostic (1.34e-1)"	"unprognostic (4.70e-3)"	"unprognostic (1.06e-1)"	"unprognostic (1.77e-1)"	"unprognostic (1.93e-1)"	"unprognostic (3.97e-2)"	"unprognostic (2.67e-1)"	"unprognostic (1.39e-1)"	"unprognostic (3.41e-4)"	"unprognostic (2.32e-3)"	"unprognostic (4.54e-1)"	"unprognostic (1.10e-1)"	"unprognostic (6.82e-2)"	"unprognostic (1.66e-2)"	"unprognostic (7.98e-3)"	"unprognostic (2.33e-1)"	"unprognostic (1.15e-2)"	"unprognostic (2.22e-2)"	"unprognostic (2.90e-1)"	"unprognostic (6.13e-2)"	"unprognostic (1.28e-1)"	"unprognostic (1.04e-1)"	"unprognostic (3.16e-2)"	"unprognostic (1.47e-2)"	"unprognostic (1.51e-1)"	"unprognostic (2.71e-1)"	"unprognostic (4.68e-1)"	"unprognostic (2.25e-3)"	"unprognostic (2.50e-2)"
AEBP2	MGC17922	ENSG00000139154	"AE binding protein 2"	Q6ZN18	12	19404045-19720801	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA020893, HPA022282"	Uncertain		Enhanced	Nucleoplasm			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 16: Non-specific - Transcription"	"Cluster 29: Forebrain - Mixed function"	"Cluster 38: Non-specific - Transcription"	"Cluster 12: Squamous epithelial cells - Keratinization"	20	Nucleoplasm		"HPA020893: AB_2670528, HPA022282: AB_2670931"	"unprognostic (3.04e-1)"	"unprognostic (4.50e-2)"	"unprognostic (3.86e-2)"	"unprognostic (6.74e-2)"	"unprognostic (9.69e-2)"	"unprognostic (9.93e-2)"	"unprognostic (3.42e-2)"	"unprognostic (3.52e-1)"	"unprognostic (7.40e-2)"	"unprognostic (1.70e-2)"	"unprognostic (1.03e-5)"	"unprognostic (3.21e-3)"	"unprognostic (8.30e-2)"	"unprognostic (9.02e-3)"	"unprognostic (1.31e-2)"	"unprognostic (2.81e-2)"	"unprognostic (2.66e-2)"	"unprognostic (2.11e-2)"	"unprognostic (2.19e-1)"	"unprognostic (8.61e-4)"	"unprognostic (5.06e-2)"	"unprognostic (2.28e-2)"	"unprognostic (4.61e-2)"	"unprognostic (1.99e-1)"	"unprognostic (6.98e-3)"	"unprognostic (2.10e-3)"	"unprognostic (4.52e-3)"	"unprognostic (3.63e-1)"	"unprognostic (3.89e-1)"	"unprognostic (8.15e-2)"	"unprognostic (1.15e-1)"
AHR	bHLHe76	ENSG00000106546	"Aryl hydrocarbon receptor"	P35869	7	16916359-17346152	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Biological rhythms, Cell cycle, Transcription, Transcription regulation"	"Activator, DNA-binding, Receptor, Repressor"	"Cancer-related genes, FDA approved drug targets, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"granulocytes: 187.3;Langerhans cells: 269.5;monocytes: 146.6;Schwann cells: 255.1"	"Cell type enhanced"	"Detected in many"		"hippocampal dentate gyrus: 46.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Skeletal muscle - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB005072, HPA029722, HPA029723"	Enhanced		Supported	Nucleoplasm,Cytosol			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 11: Liver - Plasma proteins"	"Cluster 30: White matter - Myelination"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 29: Monocytes - Innate immune response"	60	Cytosol	Nucleoplasm	"CAB005072: AB_633731, HPA029722: AB_10599189, HPA029723: AB_10599025"	"unprognostic (1.31e-3)"	"unprognostic (2.00e-2)"	"unprognostic (2.70e-1)"	"unprognostic (1.99e-3)"	"unprognostic (1.91e-1)"	"unprognostic (1.71e-3)"	"unprognostic (1.29e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.04e-1)"	"unprognostic (3.81e-2)"	"unprognostic (1.90e-6)"	"unprognostic (2.19e-1)"	"unprognostic (6.07e-4)"	"unprognostic (1.62e-1)"	"unprognostic (2.43e-1)"	"unprognostic (1.44e-1)"	"unprognostic (7.75e-2)"	"unprognostic (2.36e-1)"	"unprognostic (3.53e-2)"	"unprognostic (3.94e-2)"	"unprognostic (6.62e-3)"	"unprognostic (1.82e-3)"	"unprognostic (4.72e-2)"	"unprognostic (1.89e-1)"	"unprognostic (1.91e-1)"	"unprognostic (1.93e-1)"	"unprognostic (7.96e-2)"	"unprognostic (2.13e-1)"	"unprognostic (1.16e-1)"	"unprognostic (2.06e-1)"	"unprognostic (5.83e-2)"
AIRE	"APECED, APS1, PGA1"	ENSG00000160224	"Autoimmune regulator"	O43918	21	44285838-44298648	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"lymphoid tissue: 1.3"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 1.1;Horizontal cells: 1.3;Melanocytes: 1.7;Microglial cells: 1.8;Peritubular cells: 1.2"	"Cell type enhanced"	"Detected in many"		"deep-layer near-projecting: 9.8;fibroblast: 15.0"	"Cancer enhanced"	"Detected in single"		"Testicular Germ Cell Tumor (TCGA): 3.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 34: Neurons - Neuronal signaling"	33						"unprognostic (2.57e-1)"																										"unprognostic (1.57e-1)"		
ALX1	CART1	ENSG00000180318	"ALX homeobox 1"	Q15699	12	85280220-85301784	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"epididymis: 3.8;kidney: 5.9"	"Cell type enriched"	"Detected in some"	6	"Melanocytes: 41.2"	"Cell type enhanced"	"Detected in some"		"ependymal cell: 1.4;fibroblast: 2.3;pericyte: 2.5"	"Cancer enriched"	"Detected in some"	11	"Skin Cuteneous Melanoma (TCGA): 24.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"skin cancer: 19.3"	"Kidney - Fibroblasts, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA001598, HPA018905"	Uncertain		Supported	"Nucleoplasm,Nuclear bodies,Golgi apparatus"			NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 69: Skin cancer - ECM organization"	"Cluster 26: Schwann cells & Melanocytes - Mixed function"	11	"Nuclear bodies"	"Nucleoplasm, Golgi apparatus"	"HPA001598: AB_1078400, HPA018905: AB_1844783"			"unprognostic (7.93e-2)"															"unprognostic (2.71e-2)"									"unprognostic (4.00e-2)"		"unprognostic (8.79e-2)"		
ALX3	FND	ENSG00000156150	"ALX homeobox 3"	O95076	1	110059870-110070672	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"skin 1: 7.0"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 1.5;Cone photoreceptor cells: 1.7;Horizontal cells: 1.9;Mesothelial cells: 1.4;Oocytes: 2.9;Rod photoreceptor cells: 4.9"	"Group enriched"	"Detected in some"	4	"fibroblast: 9.4;pericyte: 6.2;vascular associated smooth muscle cell: 10.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Pituitary gland - Fibroblasts"	"Region enriched"	"Detected in many"	8	"olfactory bulb: 16.7"	"Low region specificity"	"Detected in single"			HPA074290			Approved	"Nucleoli fibrillar center"			NA	NA				"Cluster 13: Skin - Cornification"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"		"Nucleoli fibrillar center"		"HPA074290: "	"unprognostic (9.30e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.32e-2)"	"unprognostic (4.12e-2)"	"unprognostic (2.85e-2)"	"unprognostic (9.94e-2)"	"unprognostic (1.99e-2)"		"unprognostic (4.64e-3)"	"unprognostic (1.52e-1)"	"unprognostic (3.75e-3)"	"unprognostic (5.67e-4)"	"unprognostic (3.91e-3)"	"unprognostic (1.60e-2)"	"unprognostic (7.80e-2)"	"unprognostic (1.06e-1)"	"unprognostic (2.62e-2)"	"unprognostic (1.07e-1)"	"unprognostic (3.35e-3)"	"unprognostic (1.39e-1)"		"unprognostic (1.24e-4)"		"unprognostic (1.24e-1)"	"unprognostic (1.07e-1)"	"unprognostic (1.85e-1)"	"unprognostic (9.88e-2)"	"unprognostic (1.28e-2)"	"unprognostic (9.24e-2)"	"unprognostic (1.03e-1)"	"unprognostic (2.08e-1)"
ALX4	"FPP, KIAA1788, PFM, PFM2"	ENSG00000052850	"ALX homeobox 4"	Q9H161	11	44260440-44310139	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Craniosynostosis, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"breast: 1.8;choroid plexus: 1.6"	"Cell type enhanced"	"Detected in some"		"Breast myoepithelial cells: 1.2;Fibroblasts: 3.1;Late spermatids: 1.2;Leydig cells: 4.4;Microglial cells: 6.3"	"Cell type enhanced"	"Detected in some"		"ependymal cell: 14.8;fibroblast: 39.6;vascular associated smooth muscle cell: 15.0"	"Cancer enhanced"	"Detected in single"		"Testicular Germ Cell Tumor (TCGA): 2.2"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	4	"Bone cancer: 20.7"	"Minor Salivary Gland - Fibroblasts"	"Region enriched"	"Detected in some"	8	"olfactory bulb: 9.0"	"Region enriched"	"Detected in single"	28	"olfactory bulb: 12.1"	HPA001903			Supported	Nucleoplasm			NA	NA				"Cluster 14: Skeletal muscle - Muscle contraction"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 65: Non-specific - Unknown function"	"Cluster 30: Granulocytes - Unknown function"	2	Nucleoplasm		"HPA001903: AB_2666495"			"unprognostic (1.81e-1)"																										"unprognostic (1.95e-1)"		
AR	"AIS, DHTR, HUMARA, NR3C4, SBMA, SMAX1"	ENSG00000169083	"Androgen receptor"	P10275	X	67544021-67730619	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding, Receptor"	"Cancer-related genes, Disease variant, FDA approved drug targets, Neurodegeneration, Pseudohermaphroditism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 37.1"	"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 147.1;Hepatocytes: 244.2;Prostatic glandular cells: 462.1;Secretory cells: 149.4"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Breast Invasive Carcinoma (TCGA): 20.4;Prostate Adenocarcinoma (TCGA): 18.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	11	"prostate cancer: 91.0"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Liver - Hepatocytes, Pancreas - Fibroblasts, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"CAB000001, HPA004733, CAB065764"	Enhanced		Supported	Cytosol			NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 40: Prostatic glandular cells - Transcription"	329	Cytosol		"CAB000001: AB_2060174, CAB065764: AB_10620739, HPA004733: "	"unprognostic (1.28e-2)"	"unprognostic (3.29e-2)"	"unprognostic (1.75e-1)"	"unprognostic (4.06e-3)"			"unprognostic (5.65e-3)"	"unprognostic (3.51e-1)"		"unprognostic (1.33e-1)"	"unprognostic (4.11e-11)"	"unprognostic (1.70e-3)"	"unprognostic (1.35e-1)"	"unprognostic (2.98e-3)"	"unprognostic (5.61e-3)"		"unprognostic (1.33e-1)"			"unprognostic (5.87e-2)"	"unprognostic (4.11e-2)"	"unprognostic (2.77e-1)"	"unprognostic (4.62e-2)"	"unprognostic (1.06e-1)"							"unprognostic (2.90e-1)"
ARGFX		ENSG00000186103	"Arginine-fifty homeobox"	A6NJG6	3	121567949-121590622	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in single"		"bone marrow: 1.0"	"Cell type enhanced"	"Detected in some"		"Collecting duct cells: 1.9;dendritic cells: 2.2;Horizontal cells: 1.3;Langerhans cells: 1.1;Melanocytes: 1.7;Oligodendrocyte precursor cells: 1.4"	"Cell type enhanced"	"Detected in some"		"upper-layer intratelencephalic: 2.7"	"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in single"			"Not detected"	"Not detected"												HPA043049	Uncertain						NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 48: Non-specific - Mixed function"	"Cluster 56: Non-specific - Sensory perception"	"Cluster 55: Non-specific - Transcription"				"HPA043049: AB_2678288"						"unprognostic (1.84e-2)"																				"unprognostic (1.36e-1)"			"unprognostic (3.86e-2)"		
