,Gene Name,UniprotIso,EnsemblID,NumEns = NumIso
0,BAF180,Q86U86-1,ENST00000296302.11,1.0
1,BAF180,Q86U86-5,ENST00000337303.8,1.0
2,BAF180,Q86U86-3,ENST00000356770.8,1.0
3,BAF180,Q86U86-4,ENST00000394830.7,1.0
4,BAF180,Q86U86-2,ENST00000409057.5,1.0
5,BAF180,Q86U86-8,ENST00000409114.7,1.0
6,BAF180,Q86U86-7,ENST00000409767.5,1.0
7,BAF180,Q86U86-9,ENST00000410007.5,1.0
8,BAF180,Q86U86-6,ENST00000412587.5,1.0
0,BCL11A,Q9H165-6,ENST00000335712.11,True
1,BCL11A,Q9H165-2,ENST00000356842.9,True
2,BCL11A,Q9H165-3,ENST00000359629.10,True
3,BCL11A,Q9H165-8,ENST00000409351.5,True
4,BCL11A,Q9H165-1,ENST00000642384.2,True
0,BCL11B,Q9C0K0-2,ENST00000345514.2,True
1,BCL11B,Q9C0K0-1,ENST00000357195.8,True
0,BAF60A,Q96GM5-2,ENST00000381513.8,True
1,BAF60A,Q96GM5-1,ENST00000394963.9,True
0,BAF60B,Q92925-3,ENST00000323347.14,False
1,BAF60B,Q92925-1,ENST00000448276.7,False
0,BAF250A,O14497-1,ENST00000324856.13,True
1,BAF250A,O14497-3,ENST00000374152.7,True
2,BAF250A,O14497-2,ENST00000457599.7,True
0,BAF200,Q68CP9-1,ENST00000334344.11,False
0,BAF45A,Q8WUB8-1,ENST00000339209.9,True
1,BAF45A,Q8WUB8-2,ENST00000366780.8,True
2,BAF45A,Q8WUB8-3,ENST00000621772.4,True
0,BAF45D,Q92785-2,ENST00000415073.6,True
1,BAF45D,Q92785-1,ENST00000528416.6,True
0,BAF155,,ENST00000254480.10,False
0,BRG1,P51532-1,ENST00000344626.10,False
1,BRG1,P51532-1,ENST00000429416.8,False
2,BRG1,P51532-5,ENST00000444061.8,False
3,BRG1,P51532-4,ENST00000541122.6,False
4,BRG1,P51532-3,ENST00000589677.5,False
5,BRG1,P51532-2,ENST00000590574.6,False
6,BRG1,P51532-4,ENST00000643296.1,False
7,BRG1,P51532-4,ENST00000644737.1,False
8,BRG1,P51532-5,ENST00000645460.1,False
9,BRG1,P51532-2,ENST00000646484.1,False
10,BRG1,P51532-2,ENST00000646510.1,False
11,BRG1,P51532-2,ENST00000647230.1,False
0,BRD9,Q9H8M2-5,ENST00000467963.6,False
1,BRD9,Q9H8M2-6,ENST00000483173.5,False
0,BAF57,Q969G3-2,ENST00000264640.9,False
1,BAF57,Q969G3-1,ENST00000348513.12,False
2,BAF57,Q969G3-5,ENST00000377808.9,False
3,BAF57,Q969G3-6,ENST00000400122.8,False
4,BAF57,Q969G3-2,ENST00000447024.6,False
5,BAF57,Q969G3-3,ENST00000578044.6,False
6,BAF57,Q969G3-3,ENST00000643318.1,False
7,BAF57,Q969G3-1,ENST00000643683.1,False
8,BAF57,Q969G3-2,ENST00000644701.1,False
9,BAF57,Q969G3-4,ENST00000647508.1,False
0,BAF47,Q12824-2,ENST00000407422.8,False
1,BAF47,Q12824-1,ENST00000618915.3,False
2,BAF47,Q12824-2,ENST00000631333.2,False
3,BAF47,Q12824-1,ENST00000644036.2,False
0,SS18,Q15532-2,ENST00000269137.11,True
1,SS18,Q15532-1,ENST00000415083.7,True
0,BCL7A,Q4VC05-1,ENST00000261822.5,True
1,BCL7A,Q4VC05-2,ENST00000538010.5,True
0,BCL7B,Q9BQE9-1,ENST00000223368.7,False
1,BCL7B,Q9BQE9-4,ENST00000411832.5,False
0,BCL7C,Q8WUZ0-1,ENST00000215115.5,True
1,BCL7C,Q8WUZ0-2,ENST00000380317.8,True
0,BAF53A,O96019-2,ENST00000392662.5,False
1,BAF53A,O96019-1,ENST00000429709.7,False
2,BAF53A,O96019-2,ENST00000450518.6,False
0,BAF60C,Q6STE5-1,ENST00000262188.13,False
1,BAF60C,Q6STE5-2,ENST00000356800.6,False
2,BAF60C,Q6STE5-2,ENST00000392811.6,False
0,BAF250B,Q8NFD5-2,ENST00000346085.10,False
1,BAF250B,Q8NFD5-5,ENST00000350026.11,False
2,BAF250B,Q8NFD5-3,ENST00000636930.2,False
0,BAF170,Q8TAQ2-1,ENST00000267064.8,True
1,BAF170,Q8TAQ2-2,ENST00000347471.8,True
2,BAF170,Q8TAQ2-3,ENST00000394023.7,True
0,BRM,P51531-1,ENST00000349721.8,False
1,BRM,P51531-2,ENST00000357248.8,False
2,BRM,P51531-2,ENST00000382194.6,False
3,BRM,P51531-1,ENST00000382203.5,False
0,BAF45B,Q92782-2,ENST00000355526.10,False
1,BAF45B,Q92782-3,ENST00000412732.5,False
2,BAF45B,Q92782-3,ENST00000414789.5,False
3,BAF45B,Q92782-1,ENST00000420980.8,False
0,BAF45C,Q92784-2,ENST00000381216.8,False
1,BAF45C,Q92784-1,ENST00000556509.6,False
2,BAF45C,Q92784-5,ENST00000614862.5,False
0,CREST,O75177-1,ENST00000331758.8,False
1,CREST,O75177-3,ENST00000370848.8,False
0,BAF53B,,ENST00000160382.10,False
0,MED6,O75586-1,ENST00000256379.10,True
1,MED6,O75586-2,ENST00000430055.6,True
2,MED6,O75586-3,ENST00000440435.2,True
0,MED8,Q96G25-2,ENST00000290663.10,True
1,MED8,Q96G25-3,ENST00000372455.4,True
2,MED8,Q96G25-1,ENST00000372457.9,True
0,MED11,,ENST00000293777.6,False
0,MED17,Q9NVC6-1,ENST00000251871.9,False
0,MED18,,ENST00000373842.9,False
1,MED18,,ENST00000398997.2,False
2,MED18,,ENST00000645794.2,False
3,MED18,,ENST00000647352.1,False
0,MED20,Q9H944-1,ENST00000265350.9,True
1,MED20,Q9H944-2,ENST00000409312.5,True
0,MED22,Q15528-1,ENST00000343730.10,False
1,MED22,Q15528-1,ENST00000610672.4,False
2,MED22,Q15528-2,ENST00000610888.4,False
3,MED22,Q15528-2,ENST00000614493.4,False
4,MED22,Q15528-2,ENST00000626118.2,False
5,MED22,Q15528-1,ENST00000629522.2,False
6,MED22,Q15528-2,ENST00000629975.2,False
7,MED22,Q15528-1,ENST00000631196.3,False
0,MED27,Q6P2C8-1,ENST00000292035.10,True
1,MED27,Q6P2C8-2,ENST00000357028.6,True
2,MED27,Q6P2C8-4,ENST00000474263.1,True
0,MED28,,ENST00000237380.12,False
0,MED14,,ENST00000324817.6,False
0,MED30,Q96HR3-1,ENST00000297347.7,True
1,MED30,Q96HR3-2,ENST00000522839.1,True
0,MED4,Q9NPJ6-1,ENST00000258648.7,True
