From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Length	Tissue specificity	Bgee
CCNH	P51946	reviewed	CCNH_HUMAN	Cyclin-H (MO15-associated protein) (p34) (p37)	CCNH	323		ENSG00000134480;
CCNH	A0A2R8Y4K6	unreviewed	A0A2R8Y4K6_HUMAN	Cyclin H	CCNH	54		ENSG00000134480;
CCNH	A0A2R8YEM2	unreviewed	A0A2R8YEM2_HUMAN	Cyclin-H	CCNH	325		ENSG00000134480;
CCNH	D6RG18	unreviewed	D6RG18_HUMAN	Cyclin-H	CCNH	255		ENSG00000134480;
CCNH	D6RHI7	unreviewed	D6RHI7_HUMAN	Cyclin-H	CCNH	249		ENSG00000134480;
CCNK	O75909	reviewed	CCNK_HUMAN	Cyclin-K	CCNK CPR4	580	TISSUE SPECIFICITY: Widely expressed. Highest levels in testis. {ECO:0000269|PubMed:9632813}.	ENSG00000090061;
CCNK	G3V235	unreviewed	G3V235_HUMAN	Cyclin K	CCNK	109		ENSG00000090061;
CCNK	G3V2Q3	unreviewed	G3V2Q3_HUMAN	Cyclin K	CCNK	227		ENSG00000090061;
CCNK	G3V5E1	unreviewed	G3V5E1_HUMAN	Cyclin K	CCNK	378		ENSG00000090061;
CDC73	Q6P1J9	reviewed	CDC73_HUMAN	Parafibromin (Cell division cycle protein 73 homolog) (Hyperparathyroidism 2 protein)	CDC73 C1orf28 HRPT2	531	TISSUE SPECIFICITY: Found in adrenal and parathyroid glands, kidney and heart. {ECO:0000269|PubMed:15580289}.	ENSG00000134371;
CDC73	A0A0S2Z5M9	unreviewed	A0A0S2Z5M9_HUMAN	Cell division cycle 73 Paf1/RNA polymerase II complex component-like protein isoform 1	CDC73	355		
CDC73	A0A0S2Z5N1	unreviewed	A0A0S2Z5N1_HUMAN	Cell division cycle 73 Paf1/RNA polymerase II complex component-like protein isoform 2	CDC73	226		
CDC73	A0A1B0GUB2	unreviewed	A0A1B0GUB2_HUMAN	Cell division cycle 73	CDC73	450		ENSG00000134371;
CDC73	A0A2R8Y640	unreviewed	A0A2R8Y640_HUMAN	Cell division cycle 73	CDC73	197		ENSG00000134371;
CDC73	A0A2R8YHB3	unreviewed	A0A2R8YHB3_HUMAN	Cell division cycle 73	CDC73	385		ENSG00000134371;
CDC73	A0A3B3IRP5	unreviewed	A0A3B3IRP5_HUMAN	Cell division cycle 73	CDC73	482		ENSG00000134371;
CDC73	A0A3B3ISN2	unreviewed	A0A3B3ISN2_HUMAN	Cell division cycle 73	CDC73	104		ENSG00000134371;
CDC73	A0AAQ5BGL0	unreviewed	A0AAQ5BGL0_HUMAN	Cell division cycle 73	CDC73	432		
