,Prot1,Prot2,Attractive e (mf),Repulsive e (mf),Total e (mf),Attractive e (cf),Repulsive e (cf),Total e (cf)
0,0.0,Staller2022_syntheticDBD,-0.42366771890630084,0.24457461302729747,-0.4665389232611381,-0.9169898680158479,0.6460192326233646,-0.6502859502619884
1,1.0,Staller2022_syntheticDBD,-0.41511992318747276,0.24345516595769137,-0.42296844050775073,-0.8635118013861927,0.6161266499976387,-0.7378500338740306
2,2.0,Staller2022_syntheticDBD,-1.2477592474084103,0.5054948969091809,-2.938472288306878,-1.613121382092621,1.3079859356393615,-3.2083539315807688
3,3.0,Staller2022_syntheticDBD,-0.6088036740103447,0.07037479364954119,-0.7106352471579616,-1.5054608040019344,0.6313324231768185,0.1975037422492143
4,4.0,Staller2022_syntheticDBD,-0.3216555544339009,0.18228883086720868,-0.24627945541746854,-1.8175991011929216,0.746715411985736,0.525964427770873
5,5.0,Staller2022_syntheticDBD,-0.5446355211648887,0.0637787457222784,-0.6430829585222151,-0.9858060165340156,0.3380038466870652,-0.4359444392843024
6,6.0,Staller2022_syntheticDBD,-0.2524624785786664,0.17959501691305804,-0.1716553047143412,-0.6732117749002602,0.3746631505171365,-0.058883929466222895
7,7.0,Staller2022_syntheticDBD,-2.079425426388958,,-2.320399974243223,-2.5500895505055516,,-2.4969945392207613
8,8.0,Staller2022_syntheticDBD,,2.33165995996744,2.6668926080253588,-0.4012344209059928,2.206328296779619,2.2806603023002836
9,9.0,Staller2022_syntheticDBD,,2.0997811639665347,2.8486058009167294,-0.6731113975756088,1.9000963178096288,2.0637027801353014
10,10.0,Staller2022_syntheticDBD,-1.2278203940040868,0.5802636878185113,-3.3783159127748004,-1.6560079116419921,1.3480398122246013,-3.2136556411576134
11,11.0,Staller2022_syntheticDBD,-1.2256063864618403,0.586814057148835,-3.360746394556329,-1.660804652731027,1.350943333042923,-3.3724771858268934
12,12.0,Staller2022_syntheticDBD,-1.226103347810937,0.5819211557920733,-3.377071890596755,-1.622037050086637,1.3575915231421292,-3.200915622877483
13,13.0,Staller2022_syntheticDBD,-1.229484035374498,0.5864385920179135,-3.3751540367778334,-1.694810600048037,1.3650762486076997,-3.6120073662547973
14,14.0,Staller2022_syntheticDBD,-1.2228926357971046,0.5936559397221292,-3.2899910800231935,-1.734507224246662,1.358067312430709,-3.7831978006805276
15,15.0,Staller2022_syntheticDBD,-1.0932795734139265,0.49230812291548137,-2.9856628156419607,-1.6098864819004872,1.1823985199313696,-3.5397672885005615
16,16.0,Staller2022_syntheticDBD,-1.058447936256782,0.5163449841990105,-2.985662815641959,-1.5892068158620276,1.2125934158816625,-3.5397672885005615
17,17.0,Staller2022_syntheticDBD,-1.229468189849921,0.5817302700506245,-3.3880867210077135,-1.6244947663198421,1.4040177967238847,-3.35909117175585
18,18.0,Staller2022_syntheticDBD,-1.0480626079513016,0.5494907593247024,-2.953729313878451,-1.4894058460641446,1.2761224478490525,-3.3096850218352394
19,19.0,Staller2022_syntheticDBD,-1.182690312001834,0.5953087827581085,-3.22099743029181,-1.6965365334930635,1.3531508853099405,-3.6394641443618614
20,20.0,Staller2022_syntheticDBD,-1.1024711118485206,0.5807777849476473,-2.884033560539783,-1.482748942399919,1.449788631504684,-2.7698244144235176
21,21.0,Staller2022_syntheticDBD,-1.150981087737371,0.5746026808456376,-3.058540149877941,-1.5491033503729361,1.3856771531314125,-2.9621795136896054
22,22.0,Staller2022_syntheticDBD,-1.231804152595367,0.5842253846137596,-3.3901748375171157,-1.6790586689485278,1.3577711973082023,-3.5941151325543412
23,23.0,Staller2022_syntheticDBD,-1.059744957485343,0.5357073986527738,-2.9768286771835184,-1.5628240012180614,1.2700864263863694,-3.4982677444131305
24,24.0,Staller2022_syntheticDBD,-1.0506002506318235,0.5241323154040837,-2.968637486383455,-1.571033358211565,1.2014978026753647,-3.437733840703455
25,25.0,Staller2022_syntheticDBD,-1.2137679240833015,0.5870495178268677,-3.2661929845728235,-1.680318749876386,1.3863274124563163,-3.611341772559994
26,26.0,Staller2022_syntheticDBD,-1.2267755746737519,0.5867261969683024,-3.3292526182642272,-1.6749123629316909,1.37853091116672,-3.3316565809672856
27,27.0,Staller2022_syntheticDBD,-1.2180861561215381,0.589852701200346,-3.2661929845728226,-1.6940552759902763,1.3693711676043825,-3.611341772559994
28,28.0,Staller2022_syntheticDBD,-1.1898813007179716,0.5700702981149686,-2.929207595788063,-1.675322369335051,1.2927948425010474,-3.152451703753501
29,29.0,Staller2022_syntheticDBD,-1.2272354982224039,0.5845980841646847,-3.373613192379276,-1.7077357864469853,1.3522573694792184,-3.735366247634868
30,30.0,Staller2022_syntheticDBD,-2.142163985810637,,-2.6491941722279195,-2.6254028086523844,,-2.8953507043175684
31,31.0,Staller2022_syntheticDBD,-0.18301531839415305,0.6064510273081554,0.3737770094692179,-0.42402860336770665,0.7167580852421588,-0.6601368496747355
32,32.0,Staller2022_syntheticDBD,,2.4342995064989976,2.2480282513516103,-0.23036521759341255,2.4279442818634647,2.4740992830295063
33,33.0,Staller2022_syntheticDBD,-2.100119539789622,,-2.574966545508283,-2.5647208261087653,,-2.7508290121091328
34,34.0,Staller2022_syntheticDBD,-2.1683244480951926,,-2.7320310446431035,-2.5336572279715175,,-2.7334994992585884
35,35.0,Staller2022_syntheticDBD,-1.8762143428686002,,-2.2995072382948614,-2.272710311742335,,-2.3605159858728406
36,36.0,Staller2022_syntheticDBD,-2.105424185777743,,-2.652212458354099,-2.6183860762968996,,-2.8938047295580382
37,37.0,Staller2022_syntheticDBD,-2.178559137712305,,-2.7477508759175793,-2.5323830941076046,,-2.8078981741372964
