Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ABCB6	"EST45597, MTABC3, umat"	ENSG00000115657	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	Q9NP58	2	219209772-219218994	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport	Translocase	"Disease variant, Dyskeratosis congenita, Microphthalmia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in some"		"Astrocytes: 13.9;Excitatory neurons: 12.5;Gastric mucus-secreting cells: 4.7;Inhibitory neurons: 10.4;Oligodendrocyte precursor cells: 12.7;Oligodendrocytes: 5.2"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA046723, HPA058011"	Approved		Supported	"Nucleoplasm,Golgi apparatus,Plasma membrane,Mitochondria,Cytosol,Mid piece,Principal piece"	"Intracellular and membrane"	Transport	NA	NA			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 56: Non-specific - Unknown function"	"Cluster 27: Non-specific - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 34: Neurons - Neuronal signaling"		"Golgi apparatus"	"Nucleoplasm, Plasma membrane, Mitochondria, Cytosol, Mid piece, Principal piece"	"HPA046723: AB_10960288, HPA058011: AB_2683578"	"unprognostic (4.59e-2)"	"unprognostic (8.12e-3)"	"unprognostic (1.98e-1)"	"unprognostic (3.59e-2)"	"unprognostic (3.52e-1)"	"unprognostic (9.18e-3)"	"unprognostic (1.07e-1)"	"unprognostic (3.46e-3)"	"unprognostic (2.73e-1)"	"unprognostic (1.73e-1)"	"unprognostic (5.11e-8)"	"unprognostic (5.01e-2)"	"unprognostic (3.03e-4)"	"unprognostic (3.72e-2)"	"unprognostic (3.29e-5)"	"unprognostic (2.58e-3)"	"unprognostic (1.11e-1)"	"unprognostic (2.23e-1)"	"unprognostic (1.93e-2)"	"unprognostic (3.38e-1)"	"unprognostic (4.59e-2)"	"unprognostic (9.60e-3)"	"unprognostic (1.25e-1)"	"unprognostic (1.39e-1)"	"unprognostic (1.48e-1)"	"unprognostic (8.31e-2)"	"unprognostic (2.13e-1)"	"unprognostic (1.07e-1)"	"unprognostic (2.88e-1)"	"unprognostic (7.38e-3)"	"unprognostic (3.73e-2)"
ABLIM2	KIAA1808	ENSG00000163995	"Actin binding LIM protein family member 2"	Q6H8Q1	4	7965310-8158832	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"skeletal muscle: 197.6;tongue: 70.6"	"Group enriched"	"Detected in many"	4	"Excitatory neurons: 90.2;Inhibitory neurons: 64.8;Skeletal myocytes: 46.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Breast - Endothelial cells, Kidney - Podocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA035808	Uncertain		Uncertain	Nucleoplasm,Mitochondria			NA	NA				"Cluster 2: Skeletal muscle - Striated muscle contraction"	"Cluster 53: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 34: Neurons - Neuronal signaling"	1	Mitochondria	Nucleoplasm	"HPA035808: AB_10601962"	"unprognostic (4.00e-3)"	"unprognostic (5.29e-2)"	"unprognostic (3.52e-3)"	"unprognostic (8.72e-3)"	"unprognostic (4.13e-2)"	"unprognostic (6.98e-2)"	"unprognostic (2.97e-2)"		"unprognostic (5.66e-2)"		"unprognostic (4.98e-4)"	"unprognostic (3.13e-2)"	"unprognostic (5.19e-2)"	"unprognostic (1.35e-2)"	"unprognostic (1.34e-2)"	"unprognostic (2.95e-1)"	"unprognostic (8.66e-3)"	"unprognostic (1.24e-2)"	"unprognostic (1.25e-4)"	"unprognostic (1.28e-2)"	"unprognostic (6.45e-2)"	"unprognostic (4.52e-3)"	"unprognostic (2.96e-2)"	"unprognostic (4.31e-2)"	"unprognostic (5.97e-3)"	"unprognostic (7.11e-2)"		"unprognostic (1.28e-1)"		"unprognostic (2.49e-2)"	"unprognostic (1.06e-1)"
ACACA	"ACAC, Acac1, ACACalpha, ACC, ACC-alpha, ACC1, ACCA, ACCalpha, hACC1"	ENSG00000278540	"Acetyl-CoA carboxylase alpha"	Q13085	17	37084992-37406836	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"	"Allosteric enzyme, Ligase, Multifunctional enzyme"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 131.0;Excitatory neurons: 223.0;Inhibitory neurons: 189.4;Oligodendrocyte precursor cells: 169.8;Oligodendrocytes: 173.9"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Spleen - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB013715, HPA036650, HPA063018"	Approved		Supported	"Nucleoli fibrillar center,Actin filaments,Cytosol"			NA	NA		69000	"Cluster 14: Non-specific - Unknown function"	"Cluster 34: Non-specific - Mixed function"	"Cluster 1: Neurons - Mixed function"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	32	Cytosol	"Nucleoli fibrillar center, Actin filaments"	"CAB013715: , HPA036650: AB_2675228, HPA063018: AB_2684922"	"unprognostic (1.12e-1)"	"unprognostic (2.10e-2)"	"unprognostic (2.55e-1)"	"unprognostic (1.53e-3)"	"unprognostic (8.21e-2)"	"unprognostic (4.39e-3)"	"unprognostic (1.53e-2)"		"unprognostic (1.63e-1)"	"unprognostic (3.30e-3)"	"unprognostic (2.39e-2)"	"unprognostic (1.18e-2)"	"unprognostic (2.15e-1)"	"unprognostic (2.00e-6)"	"unprognostic (1.12e-3)"	"unprognostic (9.28e-2)"	"unprognostic (7.68e-2)"	"unprognostic (3.83e-2)"	"unprognostic (1.30e-1)"	"unprognostic (2.03e-2)"		"unprognostic (2.72e-1)"		"unprognostic (2.89e-1)"	"unprognostic (4.93e-2)"	"unprognostic (5.12e-2)"	"unprognostic (2.35e-1)"	"unprognostic (3.77e-1)"	"unprognostic (3.72e-1)"	"unprognostic (2.42e-2)"	"unprognostic (6.69e-2)"
ACTL6B	"ACTL6, BAF53B, SMARCN2"	ENSG00000077080	"Actin like 6B"	O94805	7	100643097-100656448	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Neurogenesis, Transcription, Transcription regulation"	"Chromatin regulator"	"Disease variant, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	8	"brain: 52.2;pituitary gland: 14.9"	"Group enriched"	"Detected in some"	4	"Cone photoreceptor cells: 11.9;Excitatory neurons: 21.3;Horizontal cells: 12.0;Inhibitory neurons: 18.2"	"Low cell type specificity"	"Detected in many"			"Group enriched"	"Detected in some"	7	"Glioblastoma Multiforme (TCGA): 7.6;Pancreatic Adenocarcinoma (TCGA): 2.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"lung cancer: 7.5;Neuroblastoma: 27.1"	"Adrenal gland - Adrenal medulla cells, Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells, Thyroid gland - Parafollicular cells"	"Low region specificity"	"Detected in all"							HPA045126	Uncertain		Approved	"Nucleoli rim,Mitotic chromosome"			Yes	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"	28	"Nucleoli rim"	"Mitotic chromosome"	"HPA045126: AB_10961265"							"unprognostic (4.14e-2)"	"unprognostic (3.08e-3)"														"unprognostic (4.76e-3)"									
ADAM11	MDC	ENSG00000073670	"ADAM metallopeptidase domain 11"	O75078	17	44758988-44781846	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	9	"brain: 94.8"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 10.2;Cardiomyocytes: 11.7;Excitatory neurons: 45.5;Horizontal cells: 34.0;Inhibitory neurons: 22.0"	"Cell type enhanced"	"Detected in all"		"cerebellar inhibitory: 210.3"	"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 1.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Rhabdoid: 6.6"	"Heart muscle - Cardiomyocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA074550	Enhanced						NA	NA		12000		"Cluster 65: Cerebellum - Nervous system development"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 34: Neurons - Neuronal signaling"				"HPA074550: AB_2732259"			"unprognostic (2.96e-1)"				"unprognostic (1.37e-1)"																				"unprognostic (1.45e-2)"				
ADAM23	MDC3	ENSG00000114948	"ADAM metallopeptidase domain 23"	O75077	2	206443532-206621127	"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 32.6;parathyroid gland: 80.0"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 81.1;Excitatory neurons: 396.2;Inhibitory neurons: 227.1;Late spermatids: 59.9;Oligodendrocyte precursor cells: 119.3"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Lung Squamous Cell Carcinoma (TCGA): 48.0"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	16	"memory CD4 T-cell: 2.1"	"Lineage enriched"	"Detected in single"	16	"T-cells: 2.1"	"Cancer enhanced"	"Detected in many"		"Myeloma: 47.8"	"Colon - Enteric glia cells, Heart muscle - Cardiomyocytes, Lung - Fibroblast_2, Pituitary gland - Thyrotropes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			CAB033276	Approved				"Secreted in brain"	"Cell adhesion"	NA	NA		7000000	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 61: Brain - Neuronal signaling"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 34: Neurons - Neuronal signaling"	1			"CAB033276: AB_2305247"	"unprognostic (4.64e-2)"	"unprognostic (8.77e-2)"	"unprognostic (1.84e-1)"	"unprognostic (1.99e-1)"		"unprognostic (2.23e-1)"	"unprognostic (1.18e-1)"	"unprognostic (1.41e-2)"	"unprognostic (1.04e-2)"					"unprognostic (6.02e-2)"	"unprognostic (1.25e-1)"	"unprognostic (3.77e-2)"	"unprognostic (1.85e-1)"	"unprognostic (1.19e-2)"	"unprognostic (1.49e-2)"			"unprognostic (4.39e-2)"	"unprognostic (9.34e-2)"			"unprognostic (2.07e-2)"	"unprognostic (7.77e-2)"	"unprognostic (8.27e-3)"	"unprognostic (3.72e-2)"		"unprognostic (1.35e-1)"
ADAMTS16	ADAMTS16s	ENSG00000145536	"ADAM metallopeptidase with thrombospondin type 1 motif 16"	Q8TE57	5	5140330-5320304	"Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 8.0;ovary: 23.4"	"Group enriched"	"Detected in some"	4	"Excitatory neurons: 43.2;Ovarian stromal cells: 15.1"	"Cell type enhanced"	"Detected in many"		"hippocampal dentate gyrus: 285.9;upper rhombic lip: 219.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Colon - Fibroblasts, Lung - Fibroblast_2, Skin - Fibroblast_1"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			HPA061013			Approved	Vesicles	"Secreted to extracellular matrix"	Enzyme	NA	No				"Cluster 64: Neuronal - Transcription"	"Cluster 35: Non-specific - DNA binding"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 34: Neurons - Neuronal signaling"		Vesicles		"HPA061013: "	"unprognostic (2.14e-1)"	"unprognostic (1.22e-1)"	"unprognostic (1.45e-1)"			"unprognostic (1.14e-1)"				"unprognostic (1.98e-2)"			"unprognostic (3.61e-6)"	"unprognostic (1.20e-1)"		"unprognostic (5.30e-2)"	"unprognostic (4.03e-2)"	"unprognostic (4.69e-3)"	"unprognostic (1.28e-1)"	"unprognostic (2.87e-2)"		"unprognostic (2.06e-2)"				"unprognostic (9.36e-2)"	"unprognostic (9.69e-2)"		"unprognostic (2.21e-1)"		"unprognostic (2.87e-3)"
ADAMTS19		ENSG00000145808	"ADAM metallopeptidase with thrombospondin type 1 motif 19"		5	129460281-129738683	"Predicted secreted proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Group enriched"	"Detected in some"	11	"cervix: 9.8;endometrium 1: 9.5;placenta: 3.6;smooth muscle: 5.7"	"Group enriched"	"Detected in some"	4	"Excitatory neurons: 79.5;Inhibitory neurons: 75.8;Oligodendrocytes: 29.5"	"Cell type enhanced"	"Detected in many"		"deep-layer near-projecting: 404.3"	"Cancer enhanced"	"Detected in some"		"Testicular Germ Cell Tumor (TCGA): 1.3;Uterine Corpus Endometrial Carcinoma (TCGA): 1.2"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	5	"Neuroblastoma: 7.7"	"Kidney - Podocytes"	"Region enriched"	"Detected in single"	5	"olfactory bulb: 2.6"	"Low region specificity"	"Detected in all"			"HPA056171, HPA058438"	Uncertain		Approved	Vesicles,Midbody	"Secreted to extracellular matrix"		Yes	NA				"Cluster 62: Connective tissue - ECM organization"	"Cluster 33: Neurons - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 34: Neurons - Neuronal signaling"		"Vesicles, Midbody"		"HPA056171: AB_2683054, HPA058438: AB_2683718"			"unprognostic (2.25e-1)"																										"unprognostic (9.07e-2)"		"unprognostic (7.63e-2)"
ADAMTS3	"ADAMTS-4, KIAA0366"	ENSG00000156140	"ADAM metallopeptidase with thrombospondin type 1 motif 3"	O15072	4	72280969-72569221	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted secreted proteins"		"Heparin-binding, Hydrolase, Metalloprotease, Protease"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"retina: 8.1"	"Group enriched"	"Detected in many"	4	"Cone photoreceptor cells: 32.3;Excitatory neurons: 48.5;Leydig cells: 23.6;Mesothelial cells: 14.7;Rod photoreceptor cells: 28.6"	"Cell type enhanced"	"Detected in many"		"mammillary body: 176.8;medium spiny neuron: 287.7;upper-layer intratelencephalic: 200.9"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Rhabdoid: 20.4"	"Adipose visceral - Mesothelial cells, Breast - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"HPA021368, HPA021369"	Uncertain		Approved	"Intermediate filaments"	"Secreted to extracellular matrix"	Enzyme	NA	NA				"Cluster 40: Non-specific - Transcription"	"Cluster 33: Neurons - Mixed function"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 34: Neurons - Neuronal signaling"	1	"Intermediate filaments"		"HPA021368: AB_2670681, HPA021369: AB_2670682"			"unprognostic (1.35e-1)"				"unprognostic (5.55e-2)"	"unprognostic (3.36e-5)"		"unprognostic (2.44e-1)"		"unprognostic (4.10e-3)"	"unprognostic (6.39e-2)"						"unprognostic (3.84e-2)"												
ADAMTSL1	"ADAMTSR1, C9orf94, FLJ35283"	ENSG00000178031	"ADAMTS like 1"	Q8N6G6	9	17906563-18910950	"Predicted intracellular proteins, Predicted secreted proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"endometrium 1: 12.9;smooth muscle: 10.8"	"Cell type enriched"	"Detected in some"	6	"Excitatory neurons: 237.1"	"Group enriched"	"Detected in all"	4	"bergmann glia: 3673.3;deep-layer corticothalamic and 6b: 1246.3"	"Group enriched"	"Detected in many"	10	"Kidney Chromophobe (TCGA): 18.5;Prostate Adenocarcinoma (TCGA): 6.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Brain cancer: 15.5;Sarcoma: 18.9"	"Adrenal gland - Adrenal cortex cells, Breast - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Skeletal muscle - Fibroblasts, Skin - Fibroblast_2, Stomach - Fibroblasts, Thyroid gland - Fibroblasts"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA057437, HPA074973"	Uncertain		Approved	Vesicles	"Secreted in other tissues"	Enzyme	NA	NA		30000000		"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 34: Neurons - Neuronal signaling"		Vesicles		"HPA057437: AB_2683440, HPA074973: "	"unprognostic (1.54e-1)"	"unprognostic (1.95e-2)"	"unprognostic (1.61e-1)"			"unprognostic (1.08e-1)"				"unprognostic (1.44e-2)"	"unprognostic (4.95e-3)"								"unprognostic (1.74e-4)"		"unprognostic (6.27e-5)"	"unprognostic (8.09e-2)"	"unprognostic (1.64e-1)"	"unprognostic (6.69e-2)"		"unprognostic (4.69e-2)"		"unprognostic (7.73e-3)"	"unprognostic (1.82e-1)"		
