Chr	Start	End
chr3	151086889	151087025
chr3	151116338	151116442
chr3	151122783	151122974
chr3	151127825	151127984
chr3	151156161	151156330
chr3	151158689	151158799
chr3	151159832	151160101
chr3	151163893	151164042
chr3	151165420	151165519
chr3	151165846	151165982
chr3	151185330	151185461
chr3	151188354	151188480
chr3	151190717	151190931
chr3	151193490	151193666
chr3	151350059	151350206
chr3	151355121	151355239
chr3	151355896	151356039
chr3	151357213	151357376
chr3	151360474	151360605
chr3	151364979	151365206
chr3	151365850	151365991
chr3	151367646	151367766
chr3	151368150	151368251
chr3	151369436	151369549
chr3	151372567	151372766
chr3	151376026	151376214
chr3	151376800	151376874
chr3	151376991	151377178
chr3	151378012	151378173
chr3	151380113	151380224
chr3	151382656	151382745
chr3	151383779	151383888
chr3	151384083	151384218
chr3	151385030	151385191
chr3	151387810	151388172
chr3	151389979	151390135
chr3	151394656	151394867
chr3	151409243	151409332
chr3	151411278	151411507
chr3	151413139	151413295
chr3	151416312	151416422
chr3	151430299	151430380
chr3	151432752	151437072
