,Gene,Ensembl,Gene description,Protein class,Biological process,Molecular function,Subcellular location,Single cell expression cluster,Interactions
0,TOX,ENSG00000198846,Thymocyte selection associated high mobility group box,"['Predicted intracellular proteins', 'Transcription factors']","['Neurogenesis', 'Transcription', 'Transcription regulation']","['Chromatin regulator', 'DNA-binding']","['Nucleoplasm', 'Nucleoli fibrillar center']",Cluster 65: Neurons - Synaptic function,5
0,NR3C2,ENSG00000151623,Nuclear receptor subfamily 3 group C member 2,"['Disease related genes', 'FDA approved drug targets', 'Human disease related genes', 'Nuclear receptors', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['DNA-binding', 'Receptor']",['Nucleoplasm'],Cluster 34: Neurons - Neuronal signaling,5
0,ZHX3,ENSG00000174306,Zinc fingers and homeoboxes 3,"['Plasma proteins', 'Predicted intracellular proteins', 'Transcription factors']","['Differentiation', 'Transcription', 'Transcription regulation']","['DNA-binding', 'Repressor']",['Nucleoplasm'],Cluster 47: Astrocytes - Unknown function,9
0,ARNT2,ENSG00000172379,Aryl hydrocarbon receptor nuclear translocator 2,"['Disease related genes', 'Human disease related genes', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],['Nucleoplasm'],Cluster 69: Neurons - Neuronal signaling,26
0,POU6F2,ENSG00000106536,POU class 6 homeobox 2,"['Disease related genes', 'Human disease related genes', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],,Cluster 34: Neurons - Neuronal signaling,103
0,POU2F1,ENSG00000143190,POU class 2 homeobox 1,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']","['Nucleoplasm', 'Endoplasmic reticulum', 'Vesicles']",Cluster 69: Neurons - Neuronal signaling,37
0,SCMH1,ENSG00000010803,Scm polycomb group protein homolog 1,['Predicted intracellular proteins'],"['Transcription', 'Transcription regulation']","['Developmental protein', 'Repressor']","['Nucleoplasm', 'Nuclear bodies', 'Cytosol']",Cluster 69: Neurons - Neuronal signaling,15
0,NRF1,ENSG00000106459,Nuclear respiratory factor 1,"['Metabolic proteins', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']","['Nucleoplasm', 'Cytosol']",Cluster 76: Oligodendrocyte precursor - Unknown function,18
0,RFX3,ENSG00000080298,Regulatory factor X3,"['Predicted intracellular proteins', 'Transcription factors']","['Differentiation', 'Transcription', 'Transcription regulation']","['Developmental protein', 'DNA-binding', 'Repressor']","['Nucleoplasm', 'Vesicles', 'Cytosol']",Cluster 34: Neurons - Neuronal signaling,16
0,ZNF248,ENSG00000198105,Zinc finger protein 248,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],['Nucleoplasm'],Cluster 8: Neurons - Neuronal signaling,
0,RFX7,ENSG00000181827,Regulatory factor X7,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Nuclear membrane']",Cluster 69: Neurons - Neuronal signaling,11
0,PHF21A,ENSG00000135365,PHD finger protein 21A,"['Disease related genes', 'Human disease related genes', 'Predicted intracellular proteins']","['Transcription', 'Transcription regulation']","['Chromatin regulator', 'DNA-binding', 'Repressor']",['Nucleoplasm'],Cluster 76: Oligodendrocyte precursor - Unknown function,37
0,NPAS2,ENSG00000170485,Neuronal PAS domain protein 2,"['Metabolic proteins', 'Predicted intracellular proteins', 'Transcription factors']","['Biological rhythms', 'DNA damage', 'Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']",['Nucleoplasm'],Cluster 34: Neurons - Neuronal signaling,18
0,RFX4,ENSG00000111783,Regulatory factor X4,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']",['Nucleoplasm'],Cluster 47: Astrocytes - Unknown function,
0,ZHX2,ENSG00000178764,Zinc fingers and homeoboxes 2,"['Plasma proteins', 'Predicted intracellular proteins', 'Transcription factors']","['Differentiation', 'Neurogenesis', 'Transcription', 'Transcription regulation']","['DNA-binding', 'Repressor']",['Nucleoplasm'],Cluster 47: Astrocytes - Unknown function,11
0,ZNF254,ENSG00000213096,Zinc finger protein 254,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],,Cluster 76: Oligodendrocyte precursor - Unknown function,
0,ZNF407,ENSG00000215421,Zinc finger protein 407,"['Disease related genes', 'Human disease related genes', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Plasma membrane']",Cluster 76: Oligodendrocyte precursor - Unknown function,
0,ZNF438,ENSG00000183621,Zinc finger protein 438,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['DNA-binding', 'Repressor']","['Nucleoplasm', 'Cytosol']",Cluster 57: Platelets - Hemostasis,50
