,Prot1,Prot2,Attractive e (mf),Repulsive e (mf),Total e (mf),Attractive e (cf),Repulsive e (cf),Total e (cf)
0,0.0,Staller2022_syntheticDBD,-3.842680257847251,,-4.755291412102687,-4.203743743411243,,-5.615956883653574
1,1.0,Staller2022_syntheticDBD,-1.6598697908987223,0.20062973052013186,-3.380377082600152,-1.5265794006924451,0.6795883378338117,-2.0841723811585666
2,2.0,Staller2022_syntheticDBD,-3.1437126304824976,,-4.747563775277578,-3.27050308232209,0.34959474805188395,-6.09364763526629
3,3.0,Staller2022_syntheticDBD,-3.898739776177421,,-4.897439116124985,-5.668989162102377,,-6.81570346802501
4,4.0,Staller2022_syntheticDBD,-3.5821668442515207,,-5.653590029207456,-4.3949174907704425,,-6.461311490120341
5,5.0,Staller2022_syntheticDBD,-3.23023513262475,,-6.093599605589411,-3.7188689502451457,0.4008939383559384,-6.937032359237186
6,6.0,Staller2022_syntheticDBD,-2.1718053761011022,,-3.6584538903378983,-3.311137711248403,,-4.881818906053297
7,7.0,Staller2022_syntheticDBD,-3.121103851827299,,-4.475412710246576,-3.0508468453364435,0.13124698916973837,-4.1062319963393925
8,8.0,Staller2022_syntheticDBD,-3.650725567980588,,-4.826883745345299,-3.1450249169043833,1.06296509112995,-4.679602184703409
9,9.0,Staller2022_syntheticDBD,-2.809963889737822,,-3.854337270123353,-4.845191982756693,,-6.830874629576456
10,10.0,Staller2022_syntheticDBD,-3.3898075655283635,,-4.173781261227925,-4.421187042491935,,-7.354788382517182
11,11.0,Staller2022_syntheticDBD,-2.8941360526267026,,-4.237447480428011,-4.478377683485302,,-5.539795844932151
12,12.0,Staller2022_syntheticDBD,-4.91240097271577,,-9.75435783009546,-4.187065295377088,0.8161577057678506,-7.847402665365092
13,13.0,Staller2022_syntheticDBD,-6.396421620733434,,-7.692329559624135,-4.336157594456036,0.3919312211669343,-6.804849632887041
14,14.0,Staller2022_syntheticDBD,-5.382637951897757,,-9.200385205312513,-4.278754370848126,0.6162153945178138,-9.854806450058643
15,15.0,Staller2022_syntheticDBD,-2.44248916061948,,-3.4524773560775035,-3.094542663112066,0.18139454434232968,-4.936188232285691
16,16.0,Staller2022_syntheticDBD,-3.172087115968668,,-4.755009000941678,-4.003830528396204,,-6.310418985751475
17,17.0,Staller2022_syntheticDBD,-4.513804556727904,,-6.148052003341281,-4.5892518684763965,,-7.0993628121465235
18,18.0,Staller2022_syntheticDBD,-4.674893400824323,,-6.480186569349358,-6.67210193213441,,-8.837354156201485
19,19.0,Staller2022_syntheticDBD,-4.621595972714801,,-6.4791722497132085,-7.115676108669296,,-9.225927565614942
20,20.0,Staller2022_syntheticDBD,-4.144129940673989,,-5.86503244195516,-4.1748594139275985,,-6.795148864932017
21,21.0,Staller2022_syntheticDBD,-4.200725525050255,,-6.1462535257547755,-4.367375442883151,,-7.401198717734495
22,22.0,Staller2022_syntheticDBD,-2.9317533444082327,,-4.4060306218811025,-4.6798990652496695,0.704345841360688,-7.677452030012894
23,23.0,Staller2022_syntheticDBD,-4.174822434040038,,-8.358854276046948,-4.838942873737768,,-11.542443690487708
24,24.0,Staller2022_syntheticDBD,-6.404223104212713,,-7.779830182892882,-3.804079159736768,1.0428794369530572,-3.9196523859896146
25,25.0,Staller2022_syntheticDBD,-5.227057378600888,,-7.055899293959528,-4.492208818542894,,-7.246830328234854
26,26.0,Staller2022_syntheticDBD,-4.803809750281648,,-7.944014248053222,-4.216234192540064,0.2809488660330919,-7.7047849304188745
27,27.0,Staller2022_syntheticDBD,-2.935201776404414,,-4.104624856673405,-3.9634180926427955,,-5.206556974892539
28,28.0,Staller2022_syntheticDBD,-4.063377751073713,,-5.607968870974089,-4.031548430760388,,-6.7085689111293085
29,29.0,Staller2022_syntheticDBD,-3.6039687995948015,,-4.880330904352201,-4.635855336536628,,-5.935509743459612
30,30.0,Staller2022_syntheticDBD,-3.0996393252212178,,-5.926091204071758,-5.076375023652652,,-8.869898455457086
31,31.0,Staller2022_syntheticDBD,-2.567442232141253,,-3.5112778552067896,-5.1870313547797595,,-6.968329021782981
32,32.0,Staller2022_syntheticDBD,-2.9818205663005006,,-4.7332339499126,-4.865707387353075,,-7.198425239050486
33,33.0,Staller2022_syntheticDBD,-4.294836561555776,,-6.257011087929033,-5.3704307978552785,,-7.476858076235342
34,34.0,Staller2022_syntheticDBD,-4.435583216299195,,-7.245590852862195,-4.587485867208241,0.06162127838923964,-8.297729443659556
35,35.0,Staller2022_syntheticDBD,-3.6872546303325424,,-5.779298591336451,-4.945659529969319,,-7.709312091582394
36,36.0,Staller2022_syntheticDBD,-3.3596779308991382,,-4.700407224051103,-4.503235149099893,,-6.670057361288535
37,37.0,Staller2022_syntheticDBD,-3.3210591246560126,,-6.288599185733972,-5.843690728623315,,-11.384765499631179
38,38.0,Staller2022_syntheticDBD,-3.5224915067294136,,-4.727704143954666,-5.898256446390391,,-7.637728598336778
39,39.0,Staller2022_syntheticDBD,-3.1166495528164093,,-3.100507460456944,-3.670131491054584,0.3391723520108384,-3.4120034573934603
40,40.0,Staller2022_syntheticDBD,-1.9415575295717593,,-3.770586981128605,-5.08211023721038,,-6.666011788099432
